"year","sggcd","type","class1","class2","unit","value"
2010,"32370","economy","grdp","mining and quarrying","million KRW",NA
2010,"32380","economy","grdp","mining and quarrying","million KRW",2853
2010,"32390","economy","grdp","mining and quarrying","million KRW",1172
2010,"32400","economy","grdp","mining and quarrying","million KRW",5539
2010,"32410","economy","grdp","mining and quarrying","million KRW",21017
2010,"32010","economy","grdp","manufacturing","million KRW",206647
2010,"32020","economy","grdp","manufacturing","million KRW",980188
2010,"32030","economy","grdp","manufacturing","million KRW",302412
2010,"32040","economy","grdp","manufacturing","million KRW",429013
2010,"32050","economy","grdp","manufacturing","million KRW",27518
2010,"32060","economy","grdp","manufacturing","million KRW",32243
2010,"32070","economy","grdp","manufacturing","million KRW",138673
2010,"32310","economy","grdp","manufacturing","million KRW",231398
2010,"32320","economy","grdp","manufacturing","million KRW",202507
2010,"32330","economy","grdp","manufacturing","million KRW",145389
2010,"32340","economy","grdp","manufacturing","million KRW",42759
2010,"32350","economy","grdp","manufacturing","million KRW",46714
2010,"32360","economy","grdp","manufacturing","million KRW",62220
2010,"32370","economy","grdp","manufacturing","million KRW",14821
2010,"32380","economy","grdp","manufacturing","million KRW",13081
2010,"32390","economy","grdp","manufacturing","million KRW",15858
2010,"32400","economy","grdp","manufacturing","million KRW",26003
2010,"32410","economy","grdp","manufacturing","million KRW",33044
2010,"32010","economy","grdp","electricity, gas, steam and air conditioning supply; water supply and waste management","million KRW",128984
2010,"32020","economy","grdp","electricity, gas, steam and air conditioning supply; water supply and waste management","million KRW",87548
2010,"32030","economy","grdp","electricity, gas, steam and air conditioning supply; water supply and waste management","million KRW",105640
2010,"32040","economy","grdp","electricity, gas, steam and air conditioning supply; water supply and waste management","million KRW",95687
2010,"32050","economy","grdp","electricity, gas, steam and air conditioning supply; water supply and waste management","million KRW",9675
2010,"32060","economy","grdp","electricity, gas, steam and air conditioning supply; water supply and waste management","million KRW",13766
2010,"32070","economy","grdp","electricity, gas, steam and air conditioning supply; water supply and waste management","million KRW",9463
2010,"32310","economy","grdp","electricity, gas, steam and air conditioning supply; water supply and waste management","million KRW",16482
2010,"32320","economy","grdp","electricity, gas, steam and air conditioning supply; water supply and waste management","million KRW",9825
2010,"32330","economy","grdp","electricity, gas, steam and air conditioning supply; water supply and waste management","million KRW",6862
2010,"32340","economy","grdp","electricity, gas, steam and air conditioning supply; water supply and waste management","million KRW",16754
2010,"32350","economy","grdp","electricity, gas, steam and air conditioning supply; water supply and waste management","million KRW",3880
2010,"32360","economy","grdp","electricity, gas, steam and air conditioning supply; water supply and waste management","million KRW",6182
2010,"32370","economy","grdp","electricity, gas, steam and air conditioning supply; water supply and waste management","million KRW",15399
2010,"32380","economy","grdp","electricity, gas, steam and air conditioning supply; water supply and waste management","million KRW",3761
2010,"32390","economy","grdp","electricity, gas, steam and air conditioning supply; water supply and waste management","million KRW",5216
2010,"32400","economy","grdp","electricity, gas, steam and air conditioning supply; water supply and waste management","million KRW",3267
2010,"32410","economy","grdp","electricity, gas, steam and air conditioning supply; water supply and waste management","million KRW",40300
2010,"32010","economy","grdp","construction","million KRW",358171
2010,"32020","economy","grdp","construction","million KRW",278844
2010,"32030","economy","grdp","construction","million KRW",148298
2010,"32040","economy","grdp","construction","million KRW",163009
2010,"32050","economy","grdp","construction","million KRW",52441
2010,"32060","economy","grdp","construction","million KRW",73555
2010,"32070","economy","grdp","construction","million KRW",116038
2010,"32310","economy","grdp","construction","million KRW",141760
2010,"32320","economy","grdp","construction","million KRW",70517
2010,"32330","economy","grdp","construction","million KRW",138110
2010,"32340","economy","grdp","construction","million KRW",179533
2010,"32350","economy","grdp","construction","million KRW",152167
2010,"32360","economy","grdp","construction","million KRW",73846
2010,"32370","economy","grdp","construction","million KRW",59094
2010,"32380","economy","grdp","construction","million KRW",32875
2010,"32390","economy","grdp","construction","million KRW",122351
2010,"32400","economy","grdp","construction","million KRW",53391
2010,"32410","economy","grdp","construction","million KRW",81354
2010,"32010","economy","grdp","wholesale and retail trade","million KRW",289040
2010,"32020","economy","grdp","wholesale and retail trade","million KRW",463042
2010,"32030","economy","grdp","wholesale and retail trade","million KRW",288486
2010,"32040","economy","grdp","wholesale and retail trade","million KRW",114091
2010,"32050","economy","grdp","wholesale and retail trade","million KRW",53094
2010,"32060","economy","grdp","wholesale and retail trade","million KRW",102896
2010,"32070","economy","grdp","wholesale and retail trade","million KRW",56410
2010,"32310","economy","grdp","wholesale and retail trade","million KRW",63628
2010,"32320","economy","grdp","wholesale and retail trade","million KRW",33336
2010,"32330","economy","grdp","wholesale and retail trade","million KRW",34155
2010,"32340","economy","grdp","wholesale and retail trade","million KRW",41890
2010,"32350","economy","grdp","wholesale and retail trade","million KRW",28944
2010,"32360","economy","grdp","wholesale and retail trade","million KRW",33471
2010,"32370","economy","grdp","wholesale and retail trade","million KRW",14291
2010,"32380","economy","grdp","wholesale and retail trade","million KRW",13924
2010,"32390","economy","grdp","wholesale and retail trade","million KRW",23624
2010,"32400","economy","grdp","wholesale and retail trade","million KRW",22090
2010,"32410","economy","grdp","wholesale and retail trade","million KRW",25350
2010,"32010","economy","grdp","transportation and storage","million KRW",179142
2010,"32020","economy","grdp","transportation and storage","million KRW",146195
2010,"32030","economy","grdp","transportation and storage","million KRW",217184
2010,"32040","economy","grdp","transportation and storage","million KRW",271686
2010,"32050","economy","grdp","transportation and storage","million KRW",36274
