"sggcd","type","class1","class2","unit","value","year"
"110004","medicine","doctors","rehabilitation medicine","persons",7,2010
"110004","medicine","doctors","nuclear medicine","persons",0,2010
"110004","medicine","doctors","family medicine","persons",45,2010
"110004","medicine","doctors","emergency medicine","persons",5,2010
"110004","medicine","doctors","occupational and environmental medicine","persons",0,2010
"110004","medicine","doctors","preventive medicine","persons",1,2010
"110005","medicine","doctors","total","persons",511,2010
"110005","medicine","doctors","internal medicine","persons",101,2010
"110005","medicine","doctors","neurology","persons",6,2010
"110005","medicine","doctors","psychiatry","persons",12,2010
"110005","medicine","doctors","surgery","persons",34,2010
"110005","medicine","doctors","orthopedics","persons",37,2010
"110005","medicine","doctors","neurosurgery","persons",11,2010
"110005","medicine","doctors","thoracic and cardiovascular surgery","persons",8,2010
"110005","medicine","doctors","plastic surgery","persons",7,2010
"110005","medicine","doctors","anesthesiology and pain medicine","persons",24,2010
"110005","medicine","doctors","obstetrics and gynecology","persons",51,2010
"110005","medicine","doctors","pediatrics","persons",40,2010
"110005","medicine","doctors","ophthalmology","persons",21,2010
"110005","medicine","doctors","otorhinolaryngology","persons",28,2010
"110005","medicine","doctors","dermatology","persons",11,2010
"110005","medicine","doctors","urology","persons",15,2010
"110005","medicine","doctors","radiology","persons",26,2010
"110005","medicine","doctors","radiation oncology","persons",2,2010
"110005","medicine","doctors","pathology","persons",9,2010
"110005","medicine","doctors","clinical laboratory medicine","persons",4,2010
"110005","medicine","doctors","tuberculosis","persons",2,2010
"110005","medicine","doctors","rehabilitation medicine","persons",13,2010
"110005","medicine","doctors","nuclear medicine","persons",1,2010
"110005","medicine","doctors","family medicine","persons",42,2010
"110005","medicine","doctors","emergency medicine","persons",5,2010
"110005","medicine","doctors","occupational and environmental medicine","persons",0,2010
"110005","medicine","doctors","preventive medicine","persons",1,2010
"110006","medicine","doctors","total","persons",307,2010
"110006","medicine","doctors","internal medicine","persons",56,2010
"110006","medicine","doctors","neurology","persons",8,2010
"110006","medicine","doctors","psychiatry","persons",10,2010
"110006","medicine","doctors","surgery","persons",21,2010
"110006","medicine","doctors","orthopedics","persons",30,2010
"110006","medicine","doctors","neurosurgery","persons",8,2010
"110006","medicine","doctors","thoracic and cardiovascular surgery","persons",3,2010
"110006","medicine","doctors","plastic surgery","persons",3,2010
"110006","medicine","doctors","anesthesiology and pain medicine","persons",16,2010
"110006","medicine","doctors","obstetrics and gynecology","persons",24,2010
"110006","medicine","doctors","pediatrics","persons",35,2010
"110006","medicine","doctors","ophthalmology","persons",13,2010
"110006","medicine","doctors","otorhinolaryngology","persons",18,2010
"110006","medicine","doctors","dermatology","persons",7,2010
"110006","medicine","doctors","urology","persons",11,2010
"110006","medicine","doctors","radiology","persons",13,2010
"110006","medicine","doctors","radiation oncology","persons",0,2010
"110006","medicine","doctors","pathology","persons",1,2010
"110006","medicine","doctors","clinical laboratory medicine","persons",1,2010
"110006","medicine","doctors","tuberculosis","persons",1,2010
"110006","medicine","doctors","rehabilitation medicine","persons",8,2010
"110006","medicine","doctors","nuclear medicine","persons",1,2010
"110006","medicine","doctors","family medicine","persons",14,2010
"110006","medicine","doctors","emergency medicine","persons",4,2010
"110006","medicine","doctors","occupational and environmental medicine","persons",1,2010
"110006","medicine","doctors","preventive medicine","persons",0,2010
"110007","medicine","doctors","total","persons",697,2010
"110007","medicine","doctors","internal medicine","persons",138,2010
"110007","medicine","doctors","neurology","persons",10,2010
"110007","medicine","doctors","psychiatry","persons",40,2010
"110007","medicine","doctors","surgery","persons",40,2010
"110007","medicine","doctors","orthopedics","persons",67,2010
"110007","medicine","doctors","neurosurgery","persons",18,2010
"110007","medicine","doctors","thoracic and cardiovascular surgery","persons",11,2010
"110007","medicine","doctors","plastic surgery","persons",8,2010
"110007","medicine","doctors","anesthesiology and pain medicine","persons",35,2010
"110007","medicine","doctors","obstetrics and gynecology","persons",54,2010
"110007","medicine","doctors","pediatrics","persons",36,2010
"110007","medicine","doctors","ophthalmology","persons",24,2010
"110007","medicine","doctors","otorhinolaryngology","persons",33,2010
"110007","medicine","doctors","dermatology","persons",12,2010
"110007","medicine","doctors","urology","persons",31,2010
"110007","medicine","doctors","radiology","persons",38,2010
"110007","medicine","doctors","radiation oncology","persons",3,2010
"110007","medicine","doctors","pathology","persons",11,2010
"110007","medicine","doctors","clinical laboratory medicine","persons",10,2010
"110007","medicine","doctors","tuberculosis","persons",3,2010
"110007","medicine","doctors","rehabilitation medicine","persons",19,2010
"110007","medicine","doctors","nuclear medicine","persons",2,2010
"110007","medicine","doctors","family medicine","persons",38,2010
"110007","medicine","doctors","emergency medicine","persons",10,2010
"110007","medicine","doctors","occupational and environmental medicine","persons",2,2010
"110007","medicine","doctors","preventive medicine","persons",4,2010
"110008","medicine","doctors","total","persons",518,2010
"110008","medicine","doctors","internal medicine","persons",95,2010
"110008","medicine","doctors","neurology","persons",11,2010
"110008","medicine","doctors","psychiatry","persons",15,2010
"110008","medicine","doctors","surgery","persons",26,2010
"110008","medicine","doctors","orthopedics","persons",38,2010
"110008","medicine","doctors","neurosurgery","persons",12,2010
"110008","medicine","doctors","thoracic and cardiovascular surgery","persons",7,2010
"110008","medicine","doctors","plastic surgery","persons",9,2010
"110008","medicine","doctors","anesthesiology and pain medicine","persons",34,2010
"110008","medicine","doctors","obstetrics and gynecology","persons",39,2010
"110008","medicine","doctors","pediatrics","persons",36,2010
"110008","medicine","doctors","ophthalmology","persons",23,2010
"110008","medicine","doctors","otorhinolaryngology","persons",30,2010
"110008","medicine","doctors","dermatology","persons",19,2010
"110008","medicine","doctors","urology","persons",17,2010
"110008","medicine","doctors","radiology","persons",26,2010
"110008","medicine","doctors","radiation oncology","persons",2,2010
"110008","medicine","doctors","pathology","persons",8,2010
"110008","medicine","doctors","clinical laboratory medicine","persons",7,2010
"110008","medicine","doctors","tuberculosis","persons",2,2010
"110008","medicine","doctors","rehabilitation medicine","persons",13,2010
"110008","medicine","doctors","nuclear medicine","persons",2,2010
"110008","medicine","doctors","family medicine","persons",42,2010
"110008","medicine","doctors","emergency medicine","persons",5,2010
"110008","medicine","doctors","occupational and environmental medicine","persons",0,2010
"110008","medicine","doctors","preventive medicine","persons",0,2010
"110009","medicine","doctors","total","persons",332,2010
"110009","medicine","doctors","internal medicine","persons",55,2010
"110009","medicine","doctors","neurology","persons",0,2010
"110009","medicine","doctors","psychiatry","persons",17,2010
"110009","medicine","doctors","surgery","persons",22,2010
"110009","medicine","doctors","orthopedics","persons",22,2010
"110009","medicine","doctors","neurosurgery","persons",4,2010
"110009","medicine","doctors","thoracic and cardiovascular surgery","persons",4,2010
"110009","medicine","doctors","plastic surgery","persons",10,2010
"110009","medicine","doctors","anesthesiology and pain medicine","persons",8,2010
"110009","medicine","doctors","obstetrics and gynecology","persons",30,2010
"110009","medicine","doctors","pediatrics","persons",34,2010
"110009","medicine","doctors","ophthalmology","persons",16,2010
"110009","medicine","doctors","otorhinolaryngology","persons",25,2010
"110009","medicine","doctors","dermatology","persons",16,2010
"110009","medicine","doctors","urology","persons",18,2010
"110009","medicine","doctors","radiology","persons",7,2010
"110009","medicine","doctors","radiation oncology","persons",0,2010
"110009","medicine","doctors","pathology","persons",0,2010
"110009","medicine","doctors","clinical laboratory medicine","persons",1,2010
"110009","medicine","doctors","tuberculosis","persons",0,2010
"110009","medicine","doctors","rehabilitation medicine","persons",3,2010
"110009","medicine","doctors","nuclear medicine","persons",0,2010
"110009","medicine","doctors","family medicine","persons",36,2010
