"sggcd","year","type","class1","class2","unit","value"
"22020",2010,"population","fertility","total","births",1.185
"22020",2015,"population","fertility","total","births",1.322
"22020",2020,"population","fertility","total","births",0.82
"22030",2010,"population","fertility","total","births",0.828
"22030",2015,"population","fertility","total","births",0.985
"22030",2020,"population","fertility","total","births",0.497
"22040",2010,"population","fertility","total","births",0.822
"22040",2015,"population","fertility","total","births",0.934
"22040",2020,"population","fertility","total","births",0.567
"22050",2010,"population","fertility","total","births",1.228
"22050",2015,"population","fertility","total","births",1.349
"22050",2020,"population","fertility","total","births",0.875
"22060",2010,"population","fertility","total","births",0.944
"22060",2015,"population","fertility","total","births",1.013
"22060",2020,"population","fertility","total","births",0.628
"22070",2010,"population","fertility","total","births",1.193
"22070",2015,"population","fertility","total","births",1.26
"22070",2020,"population","fertility","total","births",0.743
"22310",2010,"population","fertility","total","births",1.535
"22310",2015,"population","fertility","total","births",1.535
"22310",2020,"population","fertility","total","births",1.321
"23010",2010,"population","fertility","total","births",1.3
"23010",2015,"population","fertility","total","births",1.299
"23010",2020,"population","fertility","total","births",0.816
"23020",2010,"population","fertility","total","births",1.253
"23020",2015,"population","fertility","total","births",1.325
"23020",2020,"population","fertility","total","births",0.697
"23030",2010,"population","fertility","total","births",1.146
"23030",2015,"population","fertility","total","births",1.127
"23030",2020,"population","fertility","total","births",NA
"23040",2010,"population","fertility","total","births",1.207
"23040",2015,"population","fertility","total","births",1.215
"23040",2020,"population","fertility","total","births",0.946
"23050",2010,"population","fertility","total","births",1.211
"23050",2015,"population","fertility","total","births",1.24
"23050",2020,"population","fertility","total","births",0.808
"23060",2010,"population","fertility","total","births",1.168
"23060",2015,"population","fertility","total","births",1.177
"23060",2020,"population","fertility","total","births",0.713
"23070",2010,"population","fertility","total","births",1.244
"23070",2015,"population","fertility","total","births",1.126
"23070",2020,"population","fertility","total","births",0.669
"23080",2010,"population","fertility","total","births",1.329
"23080",2015,"population","fertility","total","births",1.35
"23080",2020,"population","fertility","total","births",0.95
"23310",2010,"population","fertility","total","births",1.177
"23310",2015,"population","fertility","total","births",1.081
"23310",2020,"population","fertility","total","births",1.312
"23320",2010,"population","fertility","total","births",1.569
"23320",2015,"population","fertility","total","births",1.339
"23320",2020,"population","fertility","total","births",1.125
"24010",2010,"population","fertility","total","births",0.874
"24010",2015,"population","fertility","total","births",1.072
"24010",2020,"population","fertility","total","births",0.802
"24020",2010,"population","fertility","total","births",1.12
"24020",2015,"population","fertility","total","births",1.03
"24020",2020,"population","fertility","total","births",0.712
"24030",2010,"population","fertility","total","births",1.084
"24030",2015,"population","fertility","total","births",1.089
"24030",2020,"population","fertility","total","births",0.753
"24040",2010,"population","fertility","total","births",1.176
"24040",2015,"population","fertility","total","births",1.235
"24040",2020,"population","fertility","total","births",0.827
"24050",2010,"population","fertility","total","births",1.594
"24050",2015,"population","fertility","total","births",1.427
"24050",2020,"population","fertility","total","births",0.9
"25010",2010,"population","fertility","total","births",1.205
"25010",2015,"population","fertility","total","births",1.258
"25010",2020,"population","fertility","total","births",0.787
"25020",2010,"population","fertility","total","births",1.126
"25020",2015,"population","fertility","total","births",1.165
"25020",2020,"population","fertility","total","births",0.697
"25030",2010,"population","fertility","total","births",1.129
"25030",2015,"population","fertility","total","births",1.223
"25030",2020,"population","fertility","total","births",0.785
"25040",2010,"population","fertility","total","births",1.383
"25040",2015,"population","fertility","total","births",1.463
"25040",2020,"population","fertility","total","births",0.906
"25050",2010,"population","fertility","total","births",1.254
"25050",2015,"population","fertility","total","births",1.216
"25050",2020,"population","fertility","total","births",0.752
"26010",2010,"population","fertility","total","births",1.151
"26010",2015,"population","fertility","total","births",1.327
"26010",2020,"population","fertility","total","births",0.77
"26020",2010,"population","fertility","total","births",1.229
"26020",2015,"population","fertility","total","births",1.356
"26020",2020,"population","fertility","total","births",0.876
"26030",2010,"population","fertility","total","births",1.441
"26030",2015,"population","fertility","total","births",1.622
"26030",2020,"population","fertility","total","births",0.882
"26040",2010,"population","fertility","total","births",1.672
"26040",2015,"population","fertility","total","births",1.695
"26040",2020,"population","fertility","total","births",1.254
"26310",2010,"population","fertility","total","births",1.548
"26310",2015,"population","fertility","total","births",1.579
"26310",2020,"population","fertility","total","births",1.157
"29010",2010,"population","fertility","total","births",NA
"29010",2015,"population","fertility","total","births",1.893
"29010",2020,"population","fertility","total","births",1.277
"31010",2010,"population","fertility","total","births",1.226
"31010",2015,"population","fertility","total","births",1.292
"31010",2020,"population","fertility","total","births",0.796
"31011",2010,"population","fertility","total","births",1.217
"31011",2015,"population","fertility","total","births",1.247
"31011",2020,"population","fertility","total","births",0.714
"31012",2010,"population","fertility","total","births",1.185
"31012",2015,"population","fertility","total","births",1.291
"31012",2020,"population","fertility","total","births",0.837
"31013",2010,"population","fertility","total","births",1.087
"31013",2015,"population","fertility","total","births",1.039
"31013",2020,"population","fertility","total","births",0.617
"31014",2010,"population","fertility","total","births",1.397
"31014",2015,"population","fertility","total","births",1.465
"31014",2020,"population","fertility","total","births",0.871
"31020",2010,"population","fertility","total","births",1.17
"31020",2015,"population","fertility","total","births",1.159
"31020",2020,"population","fertility","total","births",0.767
"31021",2010,"population","fertility","total","births",1.143
"31021",2015,"population","fertility","total","births",1.116
"31021",2020,"population","fertility","total","births",0.793
"31022",2010,"population","fertility","total","births",1.1
"31022",2015,"population","fertility","total","births",1.096
"31022",2020,"population","fertility","total","births",0.758
"31023",2010,"population","fertility","total","births",1.225
"31023",2015,"population","fertility","total","births",1.208
"31023",2020,"population","fertility","total","births",0.756
"31030",2010,"population","fertility","total","births",1.18
"31030",2015,"population","fertility","total","births",1.104
"31030",2020,"population","fertility","total","births",0.795
"31040",2010,"population","fertility","total","births",1.186
"31040",2015,"population","fertility","total","births",1.177
"31040",2020,"population","fertility","total","births",0.87
"31041",2010,"population","fertility","total","births",1.127
"31041",2015,"population","fertility","total","births",1.089
"31041",2020,"population","fertility","total","births",0.862
"31042",2010,"population","fertility","total","births",1.232
"31042",2015,"population","fertility","total","births",1.238
"31042",2020,"population","fertility","total","births",0.876
"31050",2010,"population","fertility","total","births",1.172
"31050",2015,"population","fertility","total","births",1.072
"31050",2020,"population","fertility","total","births",0.745
"31051",2010,"population","fertility","total","births",1.172
"31051",2015,"population","fertility","total","births",1.107
"31051",2020,"population","fertility","total","births",NA
"31052",2010,"population","fertility","total","births",1.176
"31052",2015,"population","fertility","total","births",1.041
"31052",2020,"population","fertility","total","births",NA
"31053",2010,"population","fertility","total","births",1.171
"31053",2015,"population","fertility","total","births",1.01
"31053",2020,"population","fertility","total","births",NA
"31060",2010,"population","fertility","total","births",1.336
"31060",2015,"population","fertility","total","births",1.235
"31060",2020,"population","fertility","total","births",0.823
"31070",2010,"population","fertility","total","births",1.447
"31070",2015,"population","fertility","total","births",1.469
"31070",2020,"population","fertility","total","births",1.061
"31080",2010,"population","fertility","total","births",1.45
"31080",2015,"population","fertility","total","births",1.292
"31080",2020,"population","fertility","total","births",0.809
"31090",2010,"population","fertility","total","births",1.251
"31090",2015,"population","fertility","total","births",1.219
"31090",2020,"population","fertility","total","births",0.869
"31091",2010,"population","fertility","total","births",1.24
"31091",2015,"population","fertility","total","births",1.268
"31091",2020,"population","fertility","total","births",0.804
"31092",2010,"population","fertility","total","births",1.263
"31092",2015,"population","fertility","total","births",1.159
"31092",2020,"population","fertility","total","births",0.939
"31100",2010,"population","fertility","total","births",1.165
"31100",2015,"population","fertility","total","births",1.161
"31100",2020,"population","fertility","total","births",0.788
"31101",2010,"population","fertility","total","births",1.275
"31101",2015,"population","fertility","total","births",1.239
"31101",2020,"population","fertility","total","births",0.879
"31102",2010,"population","fertility","total","births",NA
"31102",2015,"population","fertility","total","births",NA
"31102",2020,"population","fertility","total","births",NA
"31103",2010,"population","fertility","total","births",1.027
"31103",2015,"population","fertility","total","births",1.041
"31103",2020,"population","fertility","total","births",0.663
"31104",2010,"population","fertility","total","births",1.149
"31104",2015,"population","fertility","total","births",1.175
"31104",2020,"population","fertility","total","births",0.766
"31110",2010,"population","fertility","total","births",1.148
"31110",2015,"population","fertility","total","births",1.099
"31110",2020,"population","fertility","total","births",0.993
"31120",2010,"population","fertility","total","births",1.232
"31120",2015,"population","fertility","total","births",1.159
"31120",2020,"population","fertility","total","births",0.784
"31130",2010,"population","fertility","total","births",1.349
"31130",2015,"population","fertility","total","births",1.255
"31130",2020,"population","fertility","total","births",0.868
"31140",2010,"population","fertility","total","births",1.589
"31140",2015,"population","fertility","total","births",1.458
"31140",2020,"population","fertility","total","births",0.919
"31150",2010,"population","fertility","total","births",1.478
"31150",2015,"population","fertility","total","births",1.306
"31150",2020,"population","fertility","total","births",0.979
"31160",2010,"population","fertility","total","births",1.451
"31160",2015,"population","fertility","total","births",1.422
"31160",2020,"population","fertility","total","births",0.912
"31170",2010,"population","fertility","total","births",1.312
"31170",2015,"population","fertility","total","births",1.209
"31170",2020,"population","fertility","total","births",0.886
"31180",2010,"population","fertility","total","births",1.199
"31180",2015,"population","fertility","total","births",1.076
"31180",2020,"population","fertility","total","births",0.887
"31190",2010,"population","fertility","total","births",1.331
"31190",2015,"population","fertility","total","births",1.316
"31190",2020,"population","fertility","total","births",0.907
"31191",2010,"population","fertility","total","births",1.36
"31191",2015,"population","fertility","total","births",1.316
"31191",2020,"population","fertility","total","births",0.925
"31192",2010,"population","fertility","total","births",1.404
"31192",2015,"population","fertility","total","births",1.376
"31192",2020,"population","fertility","total","births",0.904
"31193",2010,"population","fertility","total","births",1.188
"31193",2015,"population","fertility","total","births",1.233
"31193",2020,"population","fertility","total","births",0.892
"31200",2010,"population","fertility","total","births",1.532
"31200",2015,"population","fertility","total","births",1.443
"31200",2020,"population","fertility","total","births",0.917
"31210",2010,"population","fertility","total","births",1.483
"31210",2015,"population","fertility","total","births",1.47
"31210",2020,"population","fertility","total","births",0.921
"31220",2010,"population","fertility","total","births",1.436
"31220",2015,"population","fertility","total","births",1.335
"31220",2020,"population","fertility","total","births",0.842
"31230",2010,"population","fertility","total","births",1.324
"31230",2015,"population","fertility","total","births",1.461
"31230",2020,"population","fertility","total","births",0.976
"31240",2010,"population","fertility","total","births",1.83
"31240",2015,"population","fertility","total","births",1.555
"31240",2020,"population","fertility","total","births",1.088
"31250",2010,"population","fertility","total","births",1.345
"31250",2015,"population","fertility","total","births",1.45
"31250",2020,"population","fertility","total","births",0.959
"31260",2010,"population","fertility","total","births",1.442
"31260",2015,"population","fertility","total","births",1.318
"31260",2020,"population","fertility","total","births",0.987
"31270",2010,"population","fertility","total","births",1.307
"31270",2015,"population","fertility","total","births",1.354
"31270",2020,"population","fertility","total","births",0.868
"31280",2010,"population","fertility","total","births",NA
"31280",2015,"population","fertility","total","births",1.336
"31280",2020,"population","fertility","total","births",1.053
"31310",2010,"population","fertility","total","births",NA
"31310",2015,"population","fertility","total","births",NA
"31310",2020,"population","fertility","total","births",NA
"31320",2010,"population","fertility","total","births",1.307
"31320",2015,"population","fertility","total","births",NA
"31320",2020,"population","fertility","total","births",NA
"31330",2010,"population","fertility","total","births",NA
"31330",2015,"population","fertility","total","births",NA
"31330",2020,"population","fertility","total","births",NA
"31340",2010,"population","fertility","total","births",NA
"31340",2015,"population","fertility","total","births",NA
"31340",2020,"population","fertility","total","births",NA
"31350",2010,"population","fertility","total","births",1.521
"31350",2015,"population","fertility","total","births",1.729
"31350",2020,"population","fertility","total","births",1.281
"31360",2010,"population","fertility","total","births",NA
"31360",2015,"population","fertility","total","births",NA
"31360",2020,"population","fertility","total","births",NA
"31370",2010,"population","fertility","total","births",1.32
"31370",2015,"population","fertility","total","births",1.27
"31370",2020,"population","fertility","total","births",1.025
"31380",2010,"population","fertility","total","births",1.223
"31380",2015,"population","fertility","total","births",1.18
"31380",2020,"population","fertility","total","births",0.967
"32010",2010,"population","fertility","total","births",1.233
"32010",2015,"population","fertility","total","births",1.202
"32010",2020,"population","fertility","total","births",0.975
"32020",2010,"population","fertility","total","births",1.327
"32020",2015,"population","fertility","total","births",1.255
"32020",2020,"population","fertility","total","births",0.978
"32030",2010,"population","fertility","total","births",1.173
"32030",2015,"population","fertility","total","births",1.234
"32030",2020,"population","fertility","total","births",0.945
"32040",2010,"population","fertility","total","births",1.282
"32040",2015,"population","fertility","total","births",1.34
"32040",2020,"population","fertility","total","births",1.055
"32050",2010,"population","fertility","total","births",1.475
"32050",2015,"population","fertility","total","births",1.276
"32050",2020,"population","fertility","total","births",1.001
"32060",2010,"population","fertility","total","births",1.337
"32060",2015,"population","fertility","total","births",1.486
"32060",2020,"population","fertility","total","births",1.063
"32070",2010,"population","fertility","total","births",1.236
"32070",2015,"population","fertility","total","births",1.307
"32070",2020,"population","fertility","total","births",1.361
"32310",2010,"population","fertility","total","births",1.35
"32310",2015,"population","fertility","total","births",1.479
"32310",2020,"population","fertility","total","births",1.102
"32320",2010,"population","fertility","total","births",1.315
"32320",2015,"population","fertility","total","births",1.214
"32320",2020,"population","fertility","total","births",0.992
"32330",2010,"population","fertility","total","births",1.274
"32330",2015,"population","fertility","total","births",1.092
"32330",2020,"population","fertility","total","births",1.009
"32340",2010,"population","fertility","total","births",1.245
"32340",2015,"population","fertility","total","births",1.12
"32340",2020,"population","fertility","total","births",0.757
"32350",2010,"population","fertility","total","births",1.185
"32350",2015,"population","fertility","total","births",1.097
"32350",2020,"population","fertility","total","births",1.027
"32360",2010,"population","fertility","total","births",1.722
"32360",2015,"population","fertility","total","births",1.724
"32360",2020,"population","fertility","total","births",1.656
"32370",2010,"population","fertility","total","births",1.754
"32370",2015,"population","fertility","total","births",1.926
"32370",2020,"population","fertility","total","births",1.235
"32380",2010,"population","fertility","total","births",1.641
"32380",2015,"population","fertility","total","births",1.748
"32380",2020,"population","fertility","total","births",1.428
"32390",2010,"population","fertility","total","births",2.004
"32390",2015,"population","fertility","total","births",2.161
"32390",2020,"population","fertility","total","births",1.439
"32400",2010,"population","fertility","total","births",1.197
"32400",2015,"population","fertility","total","births",1.264
"32400",2020,"population","fertility","total","births",1.02
"32410",2010,"population","fertility","total","births",1.312
"32410",2015,"population","fertility","total","births",1.224
"32410",2020,"population","fertility","total","births",0.924
"33010",2010,"population","fertility","total","births",1.34
"33010",2015,"population","fertility","total","births",NA
"33010",2020,"population","fertility","total","births",NA
"33011",2010,"population","fertility","total","births",1.258
"33011",2015,"population","fertility","total","births",NA
"33011",2020,"population","fertility","total","births",NA
"33012",2010,"population","fertility","total","births",1.384
"33012",2015,"population","fertility","total","births",NA
"33012",2020,"population","fertility","total","births",NA
"33020",2010,"population","fertility","total","births",1.346
"33020",2015,"population","fertility","total","births",1.26
"33020",2020,"population","fertility","total","births",1.019
