"sggcd","year","type","class1","class2","unit","value"
"34360",2015,"population","fertility","15-19 (simulated)","births per 1000",2
"34360",2020,"population","fertility","15-19 (simulated)","births per 1000",1.2
"34370",2010,"population","fertility","15-19 (simulated)","births per 1000",5.8
"34370",2015,"population","fertility","15-19 (simulated)","births per 1000",2.7
"34370",2020,"population","fertility","15-19 (simulated)","births per 1000",3.3
"34380",2010,"population","fertility","15-19 (simulated)","births per 1000",2.5
"34380",2015,"population","fertility","15-19 (simulated)","births per 1000",2
"34380",2020,"population","fertility","15-19 (simulated)","births per 1000",0.9
"34390",2010,"population","fertility","15-19 (simulated)","births per 1000",1.8
"34390",2015,"population","fertility","15-19 (simulated)","births per 1000",NA
"34390",2020,"population","fertility","15-19 (simulated)","births per 1000",NA
"35010",2010,"population","fertility","15-19 (simulated)","births per 1000",1.8
"35010",2015,"population","fertility","15-19 (simulated)","births per 1000",1.3
"35010",2020,"population","fertility","15-19 (simulated)","births per 1000",0.7
"35011",2010,"population","fertility","15-19 (simulated)","births per 1000",1.6
"35011",2015,"population","fertility","15-19 (simulated)","births per 1000",1.1
"35011",2020,"population","fertility","15-19 (simulated)","births per 1000",0.5
"35012",2010,"population","fertility","15-19 (simulated)","births per 1000",2
"35012",2015,"population","fertility","15-19 (simulated)","births per 1000",1.4
"35012",2020,"population","fertility","15-19 (simulated)","births per 1000",0.9
"35020",2010,"population","fertility","15-19 (simulated)","births per 1000",2.7
"35020",2015,"population","fertility","15-19 (simulated)","births per 1000",2.3
"35020",2020,"population","fertility","15-19 (simulated)","births per 1000",1
"35030",2010,"population","fertility","15-19 (simulated)","births per 1000",3.1
"35030",2015,"population","fertility","15-19 (simulated)","births per 1000",2.2
"35030",2020,"population","fertility","15-19 (simulated)","births per 1000",1.2
"35040",2010,"population","fertility","15-19 (simulated)","births per 1000",3.7
"35040",2015,"population","fertility","15-19 (simulated)","births per 1000",2.5
"35040",2020,"population","fertility","15-19 (simulated)","births per 1000",1.6
"35050",2010,"population","fertility","15-19 (simulated)","births per 1000",1.9
"35050",2015,"population","fertility","15-19 (simulated)","births per 1000",1.6
"35050",2020,"population","fertility","15-19 (simulated)","births per 1000",1
"35060",2010,"population","fertility","15-19 (simulated)","births per 1000",4.1
"35060",2015,"population","fertility","15-19 (simulated)","births per 1000",3.1
"35060",2020,"population","fertility","15-19 (simulated)","births per 1000",1.8
"35310",2010,"population","fertility","15-19 (simulated)","births per 1000",6.3
"35310",2015,"population","fertility","15-19 (simulated)","births per 1000",3.4
"35310",2020,"population","fertility","15-19 (simulated)","births per 1000",1.5
"35320",2010,"population","fertility","15-19 (simulated)","births per 1000",3.4
"35320",2015,"population","fertility","15-19 (simulated)","births per 1000",1.8
"35320",2020,"population","fertility","15-19 (simulated)","births per 1000",4.7
"35330",2010,"population","fertility","15-19 (simulated)","births per 1000",3.1
"35330",2015,"population","fertility","15-19 (simulated)","births per 1000",0
"35330",2020,"population","fertility","15-19 (simulated)","births per 1000",4.4
"35340",2010,"population","fertility","15-19 (simulated)","births per 1000",5.6
"35340",2015,"population","fertility","15-19 (simulated)","births per 1000",0
"35340",2020,"population","fertility","15-19 (simulated)","births per 1000",4.7
"35350",2010,"population","fertility","15-19 (simulated)","births per 1000",4.3
"35350",2015,"population","fertility","15-19 (simulated)","births per 1000",1.6
"35350",2020,"population","fertility","15-19 (simulated)","births per 1000",0
"35360",2010,"population","fertility","15-19 (simulated)","births per 1000",6.9
"35360",2015,"population","fertility","15-19 (simulated)","births per 1000",0
"35360",2020,"population","fertility","15-19 (simulated)","births per 1000",0
"35370",2010,"population","fertility","15-19 (simulated)","births per 1000",4.9
"35370",2015,"population","fertility","15-19 (simulated)","births per 1000",3.1
"35370",2020,"population","fertility","15-19 (simulated)","births per 1000",2.7
"35380",2010,"population","fertility","15-19 (simulated)","births per 1000",3.8
"35380",2015,"population","fertility","15-19 (simulated)","births per 1000",3.4
"35380",2020,"population","fertility","15-19 (simulated)","births per 1000",0
"36010",2010,"population","fertility","15-19 (simulated)","births per 1000",3.3
"36010",2015,"population","fertility","15-19 (simulated)","births per 1000",3.7
"36010",2020,"population","fertility","15-19 (simulated)","births per 1000",1.4
"36020",2010,"population","fertility","15-19 (simulated)","births per 1000",1.5
"36020",2015,"population","fertility","15-19 (simulated)","births per 1000",1.6
"36020",2020,"population","fertility","15-19 (simulated)","births per 1000",1.2
"36030",2010,"population","fertility","15-19 (simulated)","births per 1000",0.4
"36030",2015,"population","fertility","15-19 (simulated)","births per 1000",1.1
"36030",2020,"population","fertility","15-19 (simulated)","births per 1000",0.6
"36040",2010,"population","fertility","15-19 (simulated)","births per 1000",2.5
"36040",2015,"population","fertility","15-19 (simulated)","births per 1000",4
"36040",2020,"population","fertility","15-19 (simulated)","births per 1000",3.9
"36060",2010,"population","fertility","15-19 (simulated)","births per 1000",3.4
"36060",2015,"population","fertility","15-19 (simulated)","births per 1000",1.7
"36060",2020,"population","fertility","15-19 (simulated)","births per 1000",1.4
"36310",2010,"population","fertility","15-19 (simulated)","births per 1000",3.3
"36310",2015,"population","fertility","15-19 (simulated)","births per 1000",2.8
"36310",2020,"population","fertility","15-19 (simulated)","births per 1000",2.5
"36320",2010,"population","fertility","15-19 (simulated)","births per 1000",2.2
"36320",2015,"population","fertility","15-19 (simulated)","births per 1000",3.9
"36320",2020,"population","fertility","15-19 (simulated)","births per 1000",0
"36330",2010,"population","fertility","15-19 (simulated)","births per 1000",7
"36330",2015,"population","fertility","15-19 (simulated)","births per 1000",1.5
"36330",2020,"population","fertility","15-19 (simulated)","births per 1000",2
"36350",2010,"population","fertility","15-19 (simulated)","births per 1000",3.5
"36350",2015,"population","fertility","15-19 (simulated)","births per 1000",2
"36350",2020,"population","fertility","15-19 (simulated)","births per 1000",1.9
"36360",2010,"population","fertility","15-19 (simulated)","births per 1000",2.7
"36360",2015,"population","fertility","15-19 (simulated)","births per 1000",1.9
"36360",2020,"population","fertility","15-19 (simulated)","births per 1000",2.8
"36370",2010,"population","fertility","15-19 (simulated)","births per 1000",4.9
"36370",2015,"population","fertility","15-19 (simulated)","births per 1000",0.9
"36370",2020,"population","fertility","15-19 (simulated)","births per 1000",0
"36380",2010,"population","fertility","15-19 (simulated)","births per 1000",2.7
"36380",2015,"population","fertility","15-19 (simulated)","births per 1000",5.8
"36380",2020,"population","fertility","15-19 (simulated)","births per 1000",1.3
"36390",2010,"population","fertility","15-19 (simulated)","births per 1000",5.4
"36390",2015,"population","fertility","15-19 (simulated)","births per 1000",2
"36390",2020,"population","fertility","15-19 (simulated)","births per 1000",1.5
"36400",2010,"population","fertility","15-19 (simulated)","births per 1000",4.8
"36400",2015,"population","fertility","15-19 (simulated)","births per 1000",3.1
"36400",2020,"population","fertility","15-19 (simulated)","births per 1000",2.1
"36410",2010,"population","fertility","15-19 (simulated)","births per 1000",6.4
"36410",2015,"population","fertility","15-19 (simulated)","births per 1000",1.3
"36410",2020,"population","fertility","15-19 (simulated)","births per 1000",1.7
"36420",2010,"population","fertility","15-19 (simulated)","births per 1000",2.9
"36420",2015,"population","fertility","15-19 (simulated)","births per 1000",1.2
"36420",2020,"population","fertility","15-19 (simulated)","births per 1000",0
"36430",2010,"population","fertility","15-19 (simulated)","births per 1000",4.5
"36430",2015,"population","fertility","15-19 (simulated)","births per 1000",2.5
"36430",2020,"population","fertility","15-19 (simulated)","births per 1000",3.6
"36440",2010,"population","fertility","15-19 (simulated)","births per 1000",5.6
"36440",2015,"population","fertility","15-19 (simulated)","births per 1000",1.3
"36440",2020,"population","fertility","15-19 (simulated)","births per 1000",2.8
"36450",2010,"population","fertility","15-19 (simulated)","births per 1000",3.4
"36450",2015,"population","fertility","15-19 (simulated)","births per 1000",2.7
"36450",2020,"population","fertility","15-19 (simulated)","births per 1000",1.2
"36460",2010,"population","fertility","15-19 (simulated)","births per 1000",6.4
"36460",2015,"population","fertility","15-19 (simulated)","births per 1000",2.4
"36460",2020,"population","fertility","15-19 (simulated)","births per 1000",2.1
"36470",2010,"population","fertility","15-19 (simulated)","births per 1000",4.8
"36470",2015,"population","fertility","15-19 (simulated)","births per 1000",1.3
"36470",2020,"population","fertility","15-19 (simulated)","births per 1000",6.7
"36480",2010,"population","fertility","15-19 (simulated)","births per 1000",5.8
"36480",2015,"population","fertility","15-19 (simulated)","births per 1000",2.3
"36480",2020,"population","fertility","15-19 (simulated)","births per 1000",1.8
"37010",2010,"population","fertility","15-19 (simulated)","births per 1000",2.3
"37010",2015,"population","fertility","15-19 (simulated)","births per 1000",1.3
"37010",2020,"population","fertility","15-19 (simulated)","births per 1000",0.9
"37011",2010,"population","fertility","15-19 (simulated)","births per 1000",2.6
"37011",2015,"population","fertility","15-19 (simulated)","births per 1000",1.8
"37011",2020,"population","fertility","15-19 (simulated)","births per 1000",1.7
"37012",2010,"population","fertility","15-19 (simulated)","births per 1000",2.1
"37012",2015,"population","fertility","15-19 (simulated)","births per 1000",0.9
"37012",2020,"population","fertility","15-19 (simulated)","births per 1000",0.3
"37020",2010,"population","fertility","15-19 (simulated)","births per 1000",1.9
"37020",2015,"population","fertility","15-19 (simulated)","births per 1000",1.2
"37020",2020,"population","fertility","15-19 (simulated)","births per 1000",1.3
"37030",2010,"population","fertility","15-19 (simulated)","births per 1000",5.2
"37030",2015,"population","fertility","15-19 (simulated)","births per 1000",0.3
"37030",2020,"population","fertility","15-19 (simulated)","births per 1000",1.6
"37040",2010,"population","fertility","15-19 (simulated)","births per 1000",2.6
"37040",2015,"population","fertility","15-19 (simulated)","births per 1000",1.1
"37040",2020,"population","fertility","15-19 (simulated)","births per 1000",1.4
"37050",2010,"population","fertility","15-19 (simulated)","births per 1000",1.8
"37050",2015,"population","fertility","15-19 (simulated)","births per 1000",2.3
"37050",2020,"population","fertility","15-19 (simulated)","births per 1000",0.9
"37060",2010,"population","fertility","15-19 (simulated)","births per 1000",1.9
"37060",2015,"population","fertility","15-19 (simulated)","births per 1000",2.6
"37060",2020,"population","fertility","15-19 (simulated)","births per 1000",0
"37070",2010,"population","fertility","15-19 (simulated)","births per 1000",1.9
"37070",2015,"population","fertility","15-19 (simulated)","births per 1000",2.1
"37070",2020,"population","fertility","15-19 (simulated)","births per 1000",2.4
"37080",2010,"population","fertility","15-19 (simulated)","births per 1000",3.3
"37080",2015,"population","fertility","15-19 (simulated)","births per 1000",1.6
"37080",2020,"population","fertility","15-19 (simulated)","births per 1000",0.5
"37090",2010,"population","fertility","15-19 (simulated)","births per 1000",3.4
"37090",2015,"population","fertility","15-19 (simulated)","births per 1000",4.6
"37090",2020,"population","fertility","15-19 (simulated)","births per 1000",0.7
"37100",2010,"population","fertility","15-19 (simulated)","births per 1000",2.9
"37100",2015,"population","fertility","15-19 (simulated)","births per 1000",1.8
"37100",2020,"population","fertility","15-19 (simulated)","births per 1000",0
"37310",2010,"population","fertility","15-19 (simulated)","births per 1000",0
"37310",2015,"population","fertility","15-19 (simulated)","births per 1000",0
"37310",2020,"population","fertility","15-19 (simulated)","births per 1000",0
"37320",2010,"population","fertility","15-19 (simulated)","births per 1000",8.4
"37320",2015,"population","fertility","15-19 (simulated)","births per 1000",1.1
"37320",2020,"population","fertility","15-19 (simulated)","births per 1000",0
"37330",2010,"population","fertility","15-19 (simulated)","births per 1000",0
"37330",2015,"population","fertility","15-19 (simulated)","births per 1000",0
"37330",2020,"population","fertility","15-19 (simulated)","births per 1000",0
"37340",2010,"population","fertility","15-19 (simulated)","births per 1000",5.1
"37340",2015,"population","fertility","15-19 (simulated)","births per 1000",0
"37340",2020,"population","fertility","15-19 (simulated)","births per 1000",0
"37350",2010,"population","fertility","15-19 (simulated)","births per 1000",4.7
"37350",2015,"population","fertility","15-19 (simulated)","births per 1000",0
"37350",2020,"population","fertility","15-19 (simulated)","births per 1000",0
"37360",2010,"population","fertility","15-19 (simulated)","births per 1000",0
"37360",2015,"population","fertility","15-19 (simulated)","births per 1000",1.1
"37360",2020,"population","fertility","15-19 (simulated)","births per 1000",1.6
"37370",2010,"population","fertility","15-19 (simulated)","births per 1000",2.7
"37370",2015,"population","fertility","15-19 (simulated)","births per 1000",2.6
"37370",2020,"population","fertility","15-19 (simulated)","births per 1000",0
"37380",2010,"population","fertility","15-19 (simulated)","births per 1000",3.7
"37380",2015,"population","fertility","15-19 (simulated)","births per 1000",3.3
"37380",2020,"population","fertility","15-19 (simulated)","births per 1000",5.2
"37390",2010,"population","fertility","15-19 (simulated)","births per 1000",3.4
"37390",2015,"population","fertility","15-19 (simulated)","births per 1000",1.5
"37390",2020,"population","fertility","15-19 (simulated)","births per 1000",1.1
"37400",2010,"population","fertility","15-19 (simulated)","births per 1000",3
"37400",2015,"population","fertility","15-19 (simulated)","births per 1000",3.4
"37400",2020,"population","fertility","15-19 (simulated)","births per 1000",2.1
"37410",2010,"population","fertility","15-19 (simulated)","births per 1000",2.7
"37410",2015,"population","fertility","15-19 (simulated)","births per 1000",0
"37410",2020,"population","fertility","15-19 (simulated)","births per 1000",2.1
"37420",2010,"population","fertility","15-19 (simulated)","births per 1000",4.3
"37420",2015,"population","fertility","15-19 (simulated)","births per 1000",1.5
"37420",2020,"population","fertility","15-19 (simulated)","births per 1000",3.1
"37430",2010,"population","fertility","15-19 (simulated)","births per 1000",0
"37430",2015,"population","fertility","15-19 (simulated)","births per 1000",0
"37430",2020,"population","fertility","15-19 (simulated)","births per 1000",0
"38010",2010,"population","fertility","15-19 (simulated)","births per 1000",NA
"38010",2015,"population","fertility","15-19 (simulated)","births per 1000",NA
"38010",2020,"population","fertility","15-19 (simulated)","births per 1000",NA
"38020",2010,"population","fertility","15-19 (simulated)","births per 1000",NA
"38020",2015,"population","fertility","15-19 (simulated)","births per 1000",NA
"38020",2020,"population","fertility","15-19 (simulated)","births per 1000",NA
"38021",2010,"population","fertility","15-19 (simulated)","births per 1000",NA
"38021",2015,"population","fertility","15-19 (simulated)","births per 1000",NA
"38021",2020,"population","fertility","15-19 (simulated)","births per 1000",NA
"38022",2010,"population","fertility","15-19 (simulated)","births per 1000",NA
"38022",2015,"population","fertility","15-19 (simulated)","births per 1000",NA
"38022",2020,"population","fertility","15-19 (simulated)","births per 1000",NA
"38030",2010,"population","fertility","15-19 (simulated)","births per 1000",2.2
"38030",2015,"population","fertility","15-19 (simulated)","births per 1000",1.7
"38030",2020,"population","fertility","15-19 (simulated)","births per 1000",0.7
"38040",2010,"population","fertility","15-19 (simulated)","births per 1000",NA
"38040",2015,"population","fertility","15-19 (simulated)","births per 1000",NA
"38040",2020,"population","fertility","15-19 (simulated)","births per 1000",NA
"38050",2010,"population","fertility","15-19 (simulated)","births per 1000",5
"38050",2015,"population","fertility","15-19 (simulated)","births per 1000",3.9
"38050",2020,"population","fertility","15-19 (simulated)","births per 1000",1
"38060",2010,"population","fertility","15-19 (simulated)","births per 1000",2.7
"38060",2015,"population","fertility","15-19 (simulated)","births per 1000",2
"38060",2020,"population","fertility","15-19 (simulated)","births per 1000",0.4
"38070",2010,"population","fertility","15-19 (simulated)","births per 1000",1.2
"38070",2015,"population","fertility","15-19 (simulated)","births per 1000",1.3
"38070",2020,"population","fertility","15-19 (simulated)","births per 1000",0.7
"38080",2010,"population","fertility","15-19 (simulated)","births per 1000",2.3
"38080",2015,"population","fertility","15-19 (simulated)","births per 1000",0
"38080",2020,"population","fertility","15-19 (simulated)","births per 1000",1
"38090",2010,"population","fertility","15-19 (simulated)","births per 1000",2.7
"38090",2015,"population","fertility","15-19 (simulated)","births per 1000",1.4
"38090",2020,"population","fertility","15-19 (simulated)","births per 1000",1.2
"38100",2010,"population","fertility","15-19 (simulated)","births per 1000",1.8
"38100",2015,"population","fertility","15-19 (simulated)","births per 1000",1.6
"38100",2020,"population","fertility","15-19 (simulated)","births per 1000",0.8
"38110",2010,"population","fertility","15-19 (simulated)","births per 1000",1.3
"38110",2015,"population","fertility","15-19 (simulated)","births per 1000",1.5
"38110",2020,"population","fertility","15-19 (simulated)","births per 1000",0.3
"38111",2010,"population","fertility","15-19 (simulated)","births per 1000",1.2
"38111",2015,"population","fertility","15-19 (simulated)","births per 1000",1
"38111",2020,"population","fertility","15-19 (simulated)","births per 1000",0.5
"38112",2010,"population","fertility","15-19 (simulated)","births per 1000",0.4
"38112",2015,"population","fertility","15-19 (simulated)","births per 1000",0.7
"38112",2020,"population","fertility","15-19 (simulated)","births per 1000",0
"38113",2010,"population","fertility","15-19 (simulated)","births per 1000",1
"38113",2015,"population","fertility","15-19 (simulated)","births per 1000",1.8
"38113",2020,"population","fertility","15-19 (simulated)","births per 1000",0.3
"38114",2010,"population","fertility","15-19 (simulated)","births per 1000",2.4
"38114",2015,"population","fertility","15-19 (simulated)","births per 1000",2.5
"38114",2020,"population","fertility","15-19 (simulated)","births per 1000",0.2
"38115",2010,"population","fertility","15-19 (simulated)","births per 1000",1.9
"38115",2015,"population","fertility","15-19 (simulated)","births per 1000",2.4
"38115",2020,"population","fertility","15-19 (simulated)","births per 1000",0.4
"38310",2010,"population","fertility","15-19 (simulated)","births per 1000",6.2
"38310",2015,"population","fertility","15-19 (simulated)","births per 1000",0
"38310",2020,"population","fertility","15-19 (simulated)","births per 1000",0
"38320",2010,"population","fertility","15-19 (simulated)","births per 1000",1.7
"38320",2015,"population","fertility","15-19 (simulated)","births per 1000",2.7
"38320",2020,"population","fertility","15-19 (simulated)","births per 1000",2.1
"38330",2010,"population","fertility","15-19 (simulated)","births per 1000",5.9
"38330",2015,"population","fertility","15-19 (simulated)","births per 1000",5.1
"38330",2020,"population","fertility","15-19 (simulated)","births per 1000",0.9
"38340",2010,"population","fertility","15-19 (simulated)","births per 1000",5.3
"38340",2015,"population","fertility","15-19 (simulated)","births per 1000",1.5
"38340",2020,"population","fertility","15-19 (simulated)","births per 1000",1
"38350",2010,"population","fertility","15-19 (simulated)","births per 1000",0
"38350",2015,"population","fertility","15-19 (simulated)","births per 1000",1
"38350",2020,"population","fertility","15-19 (simulated)","births per 1000",0
"38360",2010,"population","fertility","15-19 (simulated)","births per 1000",5.6
"38360",2015,"population","fertility","15-19 (simulated)","births per 1000",3.4
"38360",2020,"population","fertility","15-19 (simulated)","births per 1000",1.3
"38370",2010,"population","fertility","15-19 (simulated)","births per 1000",5.5
"38370",2015,"population","fertility","15-19 (simulated)","births per 1000",0
"38370",2020,"population","fertility","15-19 (simulated)","births per 1000",3.6
"38380",2010,"population","fertility","15-19 (simulated)","births per 1000",6
"38380",2015,"population","fertility","15-19 (simulated)","births per 1000",6
"38380",2020,"population","fertility","15-19 (simulated)","births per 1000",3.8
"38390",2010,"population","fertility","15-19 (simulated)","births per 1000",1.6
"38390",2015,"population","fertility","15-19 (simulated)","births per 1000",1.6
"38390",2020,"population","fertility","15-19 (simulated)","births per 1000",1.4
"38400",2010,"population","fertility","15-19 (simulated)","births per 1000",2.9
"38400",2015,"population","fertility","15-19 (simulated)","births per 1000",0.9
"38400",2020,"population","fertility","15-19 (simulated)","births per 1000",3
"39010",2010,"population","fertility","15-19 (simulated)","births per 1000",2
"39010",2015,"population","fertility","15-19 (simulated)","births per 1000",2.5
"39010",2020,"population","fertility","15-19 (simulated)","births per 1000",1
"39020",2010,"population","fertility","15-19 (simulated)","births per 1000",4.4
"39020",2015,"population","fertility","15-19 (simulated)","births per 1000",3.3
"39020",2020,"population","fertility","15-19 (simulated)","births per 1000",2.4
"39310",2010,"population","fertility","15-19 (simulated)","births per 1000",NA
"39310",2015,"population","fertility","15-19 (simulated)","births per 1000",NA
"39310",2020,"population","fertility","15-19 (simulated)","births per 1000",NA
"39320",2010,"population","fertility","15-19 (simulated)","births per 1000",NA
"39320",2015,"population","fertility","15-19 (simulated)","births per 1000",NA
"39320",2020,"population","fertility","15-19 (simulated)","births per 1000",NA
"23090",2020,"population","fertility","15-19 (simulated)","births per 1000",1.8
"11010",2010,"population","fertility","20-24","births per 1000",5.8
"11010",2015,"population","fertility","20-24","births per 1000",5.8
"11010",2020,"population","fertility","20-24","births per 1000",2.1
"11020",2010,"population","fertility","20-24","births per 1000",7.7
"11020",2015,"population","fertility","20-24","births per 1000",4.6
"11020",2020,"population","fertility","20-24","births per 1000",1.7
"11030",2010,"population","fertility","20-24","births per 1000",9.5
"11030",2015,"population","fertility","20-24","births per 1000",5.4
"11030",2020,"population","fertility","20-24","births per 1000",1.8
"11040",2010,"population","fertility","20-24","births per 1000",7.8
"11040",2015,"population","fertility","20-24","births per 1000",6.2
"11040",2020,"population","fertility","20-24","births per 1000",1.7
"11050",2010,"population","fertility","20-24","births per 1000",6.4
"11050",2015,"population","fertility","20-24","births per 1000",5.5
"11050",2020,"population","fertility","20-24","births per 1000",1.8
"11060",2010,"population","fertility","20-24","births per 1000",7.4
"11060",2015,"population","fertility","20-24","births per 1000",6.7
"11060",2020,"population","fertility","20-24","births per 1000",2.4
"11070",2010,"population","fertility","20-24","births per 1000",11.4
"11070",2015,"population","fertility","20-24","births per 1000",9.5
"11070",2020,"population","fertility","20-24","births per 1000",3.6
"11080",2010,"population","fertility","20-24","births per 1000",7.7
"11080",2015,"population","fertility","20-24","births per 1000",5.7
"11080",2020,"population","fertility","20-24","births per 1000",1.9
"11090",2010,"population","fertility","20-24","births per 1000",13
"11090",2015,"population","fertility","20-24","births per 1000",10.9
"11090",2020,"population","fertility","20-24","births per 1000",4
"11100",2010,"population","fertility","20-24","births per 1000",10.6
"11100",2015,"population","fertility","20-24","births per 1000",7
"11100",2020,"population","fertility","20-24","births per 1000",3.4
"11110",2010,"population","fertility","20-24","births per 1000",7.3
"11110",2015,"population","fertility","20-24","births per 1000",5.2
"11110",2020,"population","fertility","20-24","births per 1000",1.8
"11120",2010,"population","fertility","20-24","births per 1000",11.9
"11120",2015,"population","fertility","20-24","births per 1000",7.5
"11120",2020,"population","fertility","20-24","births per 1000",3
"11130",2010,"population","fertility","20-24","births per 1000",8.1
"11130",2015,"population","fertility","20-24","births per 1000",5.2
"11130",2020,"population","fertility","20-24","births per 1000",3
"11140",2010,"population","fertility","20-24","births per 1000",7.3
"11140",2015,"population","fertility","20-24","births per 1000",5.2
"11140",2020,"population","fertility","20-24","births per 1000",1.7
"11150",2010,"population","fertility","20-24","births per 1000",7.2
"11150",2015,"population","fertility","20-24","births per 1000",5.6
"11150",2020,"population","fertility","20-24","births per 1000",2.7
"11160",2010,"population","fertility","20-24","births per 1000",9.8
"11160",2015,"population","fertility","20-24","births per 1000",8.4
"11160",2020,"population","fertility","20-24","births per 1000",3.7
"11170",2010,"population","fertility","20-24","births per 1000",10.3
"11170",2015,"population","fertility","20-24","births per 1000",8.4
"11170",2020,"population","fertility","20-24","births per 1000",3.3
"11180",2010,"population","fertility","20-24","births per 1000",11.2
"11180",2015,"population","fertility","20-24","births per 1000",10.1
"11180",2020,"population","fertility","20-24","births per 1000",5.7
"11190",2010,"population","fertility","20-24","births per 1000",7.1
"11190",2015,"population","fertility","20-24","births per 1000",6.2
"11190",2020,"population","fertility","20-24","births per 1000",1.8
"11200",2010,"population","fertility","20-24","births per 1000",6.1
"11200",2015,"population","fertility","20-24","births per 1000",6.4
"11200",2020,"population","fertility","20-24","births per 1000",1.6
"11210",2010,"population","fertility","20-24","births per 1000",9.2
"11210",2015,"population","fertility","20-24","births per 1000",7.4
"11210",2020,"population","fertility","20-24","births per 1000",2.2
"11220",2010,"population","fertility","20-24","births per 1000",4.7
"11220",2015,"population","fertility","20-24","births per 1000",2.9
"11220",2020,"population","fertility","20-24","births per 1000",1
"11230",2010,"population","fertility","20-24","births per 1000",3.7
"11230",2015,"population","fertility","20-24","births per 1000",4
"11230",2020,"population","fertility","20-24","births per 1000",2.3
"11240",2010,"population","fertility","20-24","births per 1000",7
"11240",2015,"population","fertility","20-24","births per 1000",5.5
"11240",2020,"population","fertility","20-24","births per 1000",2.4
"11250",2010,"population","fertility","20-24","births per 1000",8.8
"11250",2015,"population","fertility","20-24","births per 1000",6.3
"11250",2020,"population","fertility","20-24","births per 1000",3.2
"21010",2010,"population","fertility","20-24","births per 1000",6.7
"21010",2015,"population","fertility","20-24","births per 1000",14.2
"21010",2020,"population","fertility","20-24","births per 1000",7.1
"21020",2010,"population","fertility","20-24","births per 1000",7.3
"21020",2015,"population","fertility","20-24","births per 1000",8.8
"21020",2020,"population","fertility","20-24","births per 1000",4.1
"21030",2010,"population","fertility","20-24","births per 1000",13.5
"21030",2015,"population","fertility","20-24","births per 1000",13.2
"21030",2020,"population","fertility","20-24","births per 1000",4
"21040",2010,"population","fertility","20-24","births per 1000",13.8
"21040",2015,"population","fertility","20-24","births per 1000",8.3
"21040",2020,"population","fertility","20-24","births per 1000",6
"21050",2010,"population","fertility","20-24","births per 1000",11.9
"21050",2015,"population","fertility","20-24","births per 1000",9.4
"21050",2020,"population","fertility","20-24","births per 1000",3.8
"21060",2010,"population","fertility","20-24","births per 1000",6.8
"21060",2015,"population","fertility","20-24","births per 1000",8.1
"21060",2020,"population","fertility","20-24","births per 1000",5.1
"21070",2010,"population","fertility","20-24","births per 1000",11.2
"21070",2015,"population","fertility","20-24","births per 1000",9.4
"21070",2020,"population","fertility","20-24","births per 1000",2.5
"21080",2010,"population","fertility","20-24","births per 1000",10.9
"21080",2015,"population","fertility","20-24","births per 1000",10.5
"21080",2020,"population","fertility","20-24","births per 1000",4.9
"21090",2010,"population","fertility","20-24","births per 1000",9.3
"21090",2015,"population","fertility","20-24","births per 1000",7.5
"21090",2020,"population","fertility","20-24","births per 1000",4.2
"21100",2010,"population","fertility","20-24","births per 1000",13.5
"21100",2015,"population","fertility","20-24","births per 1000",11.1
"21100",2020,"population","fertility","20-24","births per 1000",6.6
"21110",2010,"population","fertility","20-24","births per 1000",8.3
"21110",2015,"population","fertility","20-24","births per 1000",6.3
"21110",2020,"population","fertility","20-24","births per 1000",3
"21120",2010,"population","fertility","20-24","births per 1000",24.5
"21120",2015,"population","fertility","20-24","births per 1000",30.3
"21120",2020,"population","fertility","20-24","births per 1000",8
"21130",2010,"population","fertility","20-24","births per 1000",7.9
"21130",2015,"population","fertility","20-24","births per 1000",8.4
"21130",2020,"population","fertility","20-24","births per 1000",4.2
"21140",2010,"population","fertility","20-24","births per 1000",8.9
"21140",2015,"population","fertility","20-24","births per 1000",8.7
"21140",2020,"population","fertility","20-24","births per 1000",4.7
"21150",2010,"population","fertility","20-24","births per 1000",14.2
"21150",2015,"population","fertility","20-24","births per 1000",13.8
"21150",2020,"population","fertility","20-24","births per 1000",4.2
"21310",2010,"population","fertility","20-24","births per 1000",20.8
"21310",2015,"population","fertility","20-24","births per 1000",20.6
"21310",2020,"population","fertility","20-24","births per 1000",9
"22010",2010,"population","fertility","20-24","births per 1000",7.7
"22010",2015,"population","fertility","20-24","births per 1000",11.2
"22010",2020,"population","fertility","20-24","births per 1000",3.6
"22020",2010,"population","fertility","20-24","births per 1000",13.7
"22020",2015,"population","fertility","20-24","births per 1000",12.6
"22020",2020,"population","fertility","20-24","births per 1000",6.4
"22030",2010,"population","fertility","20-24","births per 1000",12.8
"22030",2015,"population","fertility","20-24","births per 1000",13.4
"22030",2020,"population","fertility","20-24","births per 1000",7.1
"22040",2010,"population","fertility","20-24","births per 1000",12.4
"22040",2015,"population","fertility","20-24","births per 1000",13.8
"22040",2020,"population","fertility","20-24","births per 1000",7.1
"22050",2010,"population","fertility","20-24","births per 1000",13.2
"22050",2015,"population","fertility","20-24","births per 1000",8.8
"22050",2020,"population","fertility","20-24","births per 1000",5.3
"22060",2010,"population","fertility","20-24","births per 1000",5.3
"22060",2015,"population","fertility","20-24","births per 1000",5
"22060",2020,"population","fertility","20-24","births per 1000",2.2
"22070",2010,"population","fertility","20-24","births per 1000",10.5
"22070",2015,"population","fertility","20-24","births per 1000",7.5
"22070",2020,"population","fertility","20-24","births per 1000",4.8
