year,adm1,adm1_code,adm2,adm2_code,adm3,adm3_code,type,class1,class2,unit,value
2015,Gyeonggi-do,31,Ojeong-gu,31053,NA,NA,landuse,park,ordinance_city_park_area,square meters,0
2010,Gyeonggi-do,31,Bucheon-si,31050,NA,NA,landuse,park,ordinance_city_parks,count,0
2010,Gyeonggi-do,31,Bucheon-si,31050,NA,NA,landuse,park,ordinance_city_park_area,square meters,0
2010,Gyeonggi-do,31,Wonmi-gu,31051,NA,NA,landuse,park,ordinance_city_parks,count,0
2010,Gyeonggi-do,31,Wonmi-gu,31051,NA,NA,landuse,park,ordinance_city_park_area,square meters,0
2010,Gyeonggi-do,31,Sosa-gu,31052,NA,NA,landuse,park,ordinance_city_parks,count,0
2010,Gyeonggi-do,31,Sosa-gu,31052,NA,NA,landuse,park,ordinance_city_park_area,square meters,0
2010,Gyeonggi-do,31,Ojeong-gu,31053,NA,NA,landuse,park,ordinance_city_parks,count,0
2010,Gyeonggi-do,31,Ojeong-gu,31053,NA,NA,landuse,park,ordinance_city_park_area,square meters,0
2020,Gyeonggi-do,31,Ansan-si,31090,NA,NA,landuse,park,total_parks,count,316
2020,Gyeonggi-do,31,Ansan-si,31090,NA,NA,landuse,park,total_park_area,square meters,9287098
2020,Gyeonggi-do,31,Sangnok-gu,31091,NA,NA,landuse,park,total_parks,count,316
2020,Gyeonggi-do,31,Sangnok-gu,31091,NA,NA,landuse,park,total_park_area,square meters,9287098
2020,Gyeonggi-do,31,Danwon-gu,31092,NA,NA,landuse,park,total_parks,count,316
2020,Gyeonggi-do,31,Danwon-gu,31092,NA,NA,landuse,park,total_park_area,square meters,9287098
2015,Gyeonggi-do,31,Ansan-si,31090,NA,NA,landuse,park,total_parks,count,297
2015,Gyeonggi-do,31,Ansan-si,31090,NA,NA,landuse,park,total_park_area,square meters,9180309
2015,Gyeonggi-do,31,Sangnok-gu,31091,NA,NA,landuse,park,total_parks,count,297
2015,Gyeonggi-do,31,Sangnok-gu,31091,NA,NA,landuse,park,total_park_area,square meters,9180309
2015,Gyeonggi-do,31,Danwon-gu,31092,NA,NA,landuse,park,total_parks,count,297
2015,Gyeonggi-do,31,Danwon-gu,31092,NA,NA,landuse,park,total_park_area,square meters,9180309
2010,Gyeonggi-do,31,Ansan-si,31090,NA,NA,landuse,park,total_parks,count,259
2010,Gyeonggi-do,31,Ansan-si,31090,NA,NA,landuse,park,total_park_area,square meters,9513328
2010,Gyeonggi-do,31,Sangnok-gu,31091,NA,NA,landuse,park,total_parks,count,259
2010,Gyeonggi-do,31,Sangnok-gu,31091,NA,NA,landuse,park,total_park_area,square meters,9513328
2010,Gyeonggi-do,31,Danwon-gu,31092,NA,NA,landuse,park,total_parks,count,259
2010,Gyeonggi-do,31,Danwon-gu,31092,NA,NA,landuse,park,total_park_area,square meters,9513328
2020,Gyeonggi-do,31,Ansan-si,31090,NA,NA,landuse,park,urban_natural_parks,count,0
2020,Gyeonggi-do,31,Ansan-si,31090,NA,NA,landuse,park,urban_natural_park_area,square meters,0
2020,Gyeonggi-do,31,Sangnok-gu,31091,NA,NA,landuse,park,urban_natural_parks,count,0
2020,Gyeonggi-do,31,Sangnok-gu,31091,NA,NA,landuse,park,urban_natural_park_area,square meters,0
2020,Gyeonggi-do,31,Danwon-gu,31092,NA,NA,landuse,park,urban_natural_parks,count,0
2020,Gyeonggi-do,31,Danwon-gu,31092,NA,NA,landuse,park,urban_natural_park_area,square meters,0
2015,Gyeonggi-do,31,Ansan-si,31090,NA,NA,landuse,park,urban_natural_parks,count,0
2015,Gyeonggi-do,31,Ansan-si,31090,NA,NA,landuse,park,urban_natural_park_area,square meters,0
2015,Gyeonggi-do,31,Sangnok-gu,31091,NA,NA,landuse,park,urban_natural_parks,count,0
2015,Gyeonggi-do,31,Sangnok-gu,31091,NA,NA,landuse,park,urban_natural_park_area,square meters,0
2015,Gyeonggi-do,31,Danwon-gu,31092,NA,NA,landuse,park,urban_natural_parks,count,0
2015,Gyeonggi-do,31,Danwon-gu,31092,NA,NA,landuse,park,urban_natural_park_area,square meters,0
2010,Gyeonggi-do,31,Ansan-si,31090,NA,NA,landuse,park,urban_natural_parks,count,7
2010,Gyeonggi-do,31,Ansan-si,31090,NA,NA,landuse,park,urban_natural_park_area,square meters,3817738
2010,Gyeonggi-do,31,Sangnok-gu,31091,NA,NA,landuse,park,urban_natural_parks,count,7
2010,Gyeonggi-do,31,Sangnok-gu,31091,NA,NA,landuse,park,urban_natural_park_area,square meters,3817738
2010,Gyeonggi-do,31,Danwon-gu,31092,NA,NA,landuse,park,urban_natural_parks,count,7
2010,Gyeonggi-do,31,Danwon-gu,31092,NA,NA,landuse,park,urban_natural_park_area,square meters,3817738
2020,Gyeonggi-do,31,Ansan-si,31090,NA,NA,landuse,park,urban_national_parks,count,0
2020,Gyeonggi-do,31,Ansan-si,31090,NA,NA,landuse,park,urban_national_park_area,square meters,0
2020,Gyeonggi-do,31,Sangnok-gu,31091,NA,NA,landuse,park,urban_national_parks,count,0
2020,Gyeonggi-do,31,Sangnok-gu,31091,NA,NA,landuse,park,urban_national_park_area,square meters,0
2020,Gyeonggi-do,31,Danwon-gu,31092,NA,NA,landuse,park,urban_national_parks,count,0
2020,Gyeonggi-do,31,Danwon-gu,31092,NA,NA,landuse,park,urban_national_park_area,square meters,0
2020,Gyeonggi-do,31,Ansan-si,31090,NA,NA,landuse,park,small_parks,count,73
2020,Gyeonggi-do,31,Ansan-si,31090,NA,NA,landuse,park,small_park_area,square meters,133912
2020,Gyeonggi-do,31,Sangnok-gu,31091,NA,NA,landuse,park,small_parks,count,73
2020,Gyeonggi-do,31,Sangnok-gu,31091,NA,NA,landuse,park,small_park_area,square meters,133912
2020,Gyeonggi-do,31,Danwon-gu,31092,NA,NA,landuse,park,small_parks,count,73
2020,Gyeonggi-do,31,Danwon-gu,31092,NA,NA,landuse,park,small_park_area,square meters,133912
2015,Gyeonggi-do,31,Ansan-si,31090,NA,NA,landuse,park,small_parks,count,57
2015,Gyeonggi-do,31,Ansan-si,31090,NA,NA,landuse,park,small_park_area,square meters,103913
2015,Gyeonggi-do,31,Sangnok-gu,31091,NA,NA,landuse,park,small_parks,count,57
2015,Gyeonggi-do,31,Sangnok-gu,31091,NA,NA,landuse,park,small_park_area,square meters,103913
2015,Gyeonggi-do,31,Danwon-gu,31092,NA,NA,landuse,park,small_parks,count,57
2015,Gyeonggi-do,31,Danwon-gu,31092,NA,NA,landuse,park,small_park_area,square meters,103913
2010,Gyeonggi-do,31,Ansan-si,31090,NA,NA,landuse,park,small_parks,count,31
2010,Gyeonggi-do,31,Ansan-si,31090,NA,NA,landuse,park,small_park_area,square meters,43684
2010,Gyeonggi-do,31,Sangnok-gu,31091,NA,NA,landuse,park,small_parks,count,31
2010,Gyeonggi-do,31,Sangnok-gu,31091,NA,NA,landuse,park,small_park_area,square meters,43684
2010,Gyeonggi-do,31,Danwon-gu,31092,NA,NA,landuse,park,small_parks,count,31
2010,Gyeonggi-do,31,Danwon-gu,31092,NA,NA,landuse,park,small_park_area,square meters,43684
2020,Gyeonggi-do,31,Ansan-si,31090,NA,NA,landuse,park,children_parks,count,146
2020,Gyeonggi-do,31,Ansan-si,31090,NA,NA,landuse,park,children_park_area,square meters,240038
2020,Gyeonggi-do,31,Sangnok-gu,31091,NA,NA,landuse,park,children_parks,count,146
2020,Gyeonggi-do,31,Sangnok-gu,31091,NA,NA,landuse,park,children_park_area,square meters,240038
2020,Gyeonggi-do,31,Danwon-gu,31092,NA,NA,landuse,park,children_parks,count,146
2020,Gyeonggi-do,31,Danwon-gu,31092,NA,NA,landuse,park,children_park_area,square meters,240038
2015,Gyeonggi-do,31,Ansan-si,31090,NA,NA,landuse,park,children_parks,count,151
2015,Gyeonggi-do,31,Ansan-si,31090,NA,NA,landuse,park,children_park_area,square meters,253898
2015,Gyeonggi-do,31,Sangnok-gu,31091,NA,NA,landuse,park,children_parks,count,151
2015,Gyeonggi-do,31,Sangnok-gu,31091,NA,NA,landuse,park,children_park_area,square meters,253898
2015,Gyeonggi-do,31,Danwon-gu,31092,NA,NA,landuse,park,children_parks,count,151
2015,Gyeonggi-do,31,Danwon-gu,31092,NA,NA,landuse,park,children_park_area,square meters,253898
2010,Gyeonggi-do,31,Ansan-si,31090,NA,NA,landuse,park,children_parks,count,161
2010,Gyeonggi-do,31,Ansan-si,31090,NA,NA,landuse,park,children_park_area,square meters,261616
2010,Gyeonggi-do,31,Sangnok-gu,31091,NA,NA,landuse,park,children_parks,count,161
2010,Gyeonggi-do,31,Sangnok-gu,31091,NA,NA,landuse,park,children_park_area,square meters,261616
2010,Gyeonggi-do,31,Danwon-gu,31092,NA,NA,landuse,park,children_parks,count,161
2010,Gyeonggi-do,31,Danwon-gu,31092,NA,NA,landuse,park,children_park_area,square meters,261616
2020,Gyeonggi-do,31,Ansan-si,31090,NA,NA,landuse,park,neighborhood_parks,count,67
2020,Gyeonggi-do,31,Ansan-si,31090,NA,NA,landuse,park,neighborhood_park_area,square meters,6747953
2020,Gyeonggi-do,31,Sangnok-gu,31091,NA,NA,landuse,park,neighborhood_parks,count,67
2020,Gyeonggi-do,31,Sangnok-gu,31091,NA,NA,landuse,park,neighborhood_park_area,square meters,6747953
2020,Gyeonggi-do,31,Danwon-gu,31092,NA,NA,landuse,park,neighborhood_parks,count,67
2020,Gyeonggi-do,31,Danwon-gu,31092,NA,NA,landuse,park,neighborhood_park_area,square meters,6747953
2015,Gyeonggi-do,31,Ansan-si,31090,NA,NA,landuse,park,neighborhood_parks,count,63
2015,Gyeonggi-do,31,Ansan-si,31090,NA,NA,landuse,park,neighborhood_park_area,square meters,6832165
2015,Gyeonggi-do,31,Sangnok-gu,31091,NA,NA,landuse,park,neighborhood_parks,count,63
2015,Gyeonggi-do,31,Sangnok-gu,31091,NA,NA,landuse,park,neighborhood_park_area,square meters,6832165
2015,Gyeonggi-do,31,Danwon-gu,31092,NA,NA,landuse,park,neighborhood_parks,count,63
2015,Gyeonggi-do,31,Danwon-gu,31092,NA,NA,landuse,park,neighborhood_park_area,square meters,6832165
2010,Gyeonggi-do,31,Ansan-si,31090,NA,NA,landuse,park,neighborhood_parks,count,57
2010,Gyeonggi-do,31,Ansan-si,31090,NA,NA,landuse,park,neighborhood_park_area,square meters,5024146
2010,Gyeonggi-do,31,Sangnok-gu,31091,NA,NA,landuse,park,neighborhood_parks,count,57
2010,Gyeonggi-do,31,Sangnok-gu,31091,NA,NA,landuse,park,neighborhood_park_area,square meters,5024146
2010,Gyeonggi-do,31,Danwon-gu,31092,NA,NA,landuse,park,neighborhood_parks,count,57
2010,Gyeonggi-do,31,Danwon-gu,31092,NA,NA,landuse,park,neighborhood_park_area,square meters,5024146
2020,Gyeonggi-do,31,Ansan-si,31090,NA,NA,landuse,park,historic_parks,count,2
2020,Gyeonggi-do,31,Ansan-si,31090,NA,NA,landuse,park,historic_park_area,square meters,86983
2020,Gyeonggi-do,31,Sangnok-gu,31091,NA,NA,landuse,park,historic_parks,count,2
2020,Gyeonggi-do,31,Sangnok-gu,31091,NA,NA,landuse,park,historic_park_area,square meters,86983
2020,Gyeonggi-do,31,Danwon-gu,31092,NA,NA,landuse,park,historic_parks,count,2
2020,Gyeonggi-do,31,Danwon-gu,31092,NA,NA,landuse,park,historic_park_area,square meters,86983
2015,Gyeonggi-do,31,Ansan-si,31090,NA,NA,landuse,park,historic_parks,count,2
2015,Gyeonggi-do,31,Ansan-si,31090,NA,NA,landuse,park,historic_park_area,square meters,86983
2015,Gyeonggi-do,31,Sangnok-gu,31091,NA,NA,landuse,park,historic_parks,count,2
2015,Gyeonggi-do,31,Sangnok-gu,31091,NA,NA,landuse,park,historic_park_area,square meters,86983
2015,Gyeonggi-do,31,Danwon-gu,31092,NA,NA,landuse,park,historic_parks,count,2
2015,Gyeonggi-do,31,Danwon-gu,31092,NA,NA,landuse,park,historic_park_area,square meters,86983
2010,Gyeonggi-do,31,Ansan-si,31090,NA,NA,landuse,park,historic_parks,count,1
2010,Gyeonggi-do,31,Ansan-si,31090,NA,NA,landuse,park,historic_park_area,square meters,15252
2010,Gyeonggi-do,31,Sangnok-gu,31091,NA,NA,landuse,park,historic_parks,count,1
2010,Gyeonggi-do,31,Sangnok-gu,31091,NA,NA,landuse,park,historic_park_area,square meters,15252
2010,Gyeonggi-do,31,Danwon-gu,31092,NA,NA,landuse,park,historic_parks,count,1
2010,Gyeonggi-do,31,Danwon-gu,31092,NA,NA,landuse,park,historic_park_area,square meters,15252
2020,Gyeonggi-do,31,Ansan-si,31090,NA,NA,landuse,park,cultural_parks,count,17
2020,Gyeonggi-do,31,Ansan-si,31090,NA,NA,landuse,park,cultural_park_area,square meters,835911
2020,Gyeonggi-do,31,Sangnok-gu,31091,NA,NA,landuse,park,cultural_parks,count,17
2020,Gyeonggi-do,31,Sangnok-gu,31091,NA,NA,landuse,park,cultural_park_area,square meters,835911
2020,Gyeonggi-do,31,Danwon-gu,31092,NA,NA,landuse,park,cultural_parks,count,17
2020,Gyeonggi-do,31,Danwon-gu,31092,NA,NA,landuse,park,cultural_park_area,square meters,835911
2015,Gyeonggi-do,31,Ansan-si,31090,NA,NA,landuse,park,cultural_parks,count,13
2015,Gyeonggi-do,31,Ansan-si,31090,NA,NA,landuse,park,cultural_park_area,square meters,648847
2015,Gyeonggi-do,31,Sangnok-gu,31091,NA,NA,landuse,park,cultural_parks,count,13
2015,Gyeonggi-do,31,Sangnok-gu,31091,NA,NA,landuse,park,cultural_park_area,square meters,648847
2015,Gyeonggi-do,31,Danwon-gu,31092,NA,NA,landuse,park,cultural_parks,count,13
2015,Gyeonggi-do,31,Danwon-gu,31092,NA,NA,landuse,park,cultural_park_area,square meters,648847
2010,Gyeonggi-do,31,Ansan-si,31090,NA,NA,landuse,park,cultural_parks,count,0
2010,Gyeonggi-do,31,Ansan-si,31090,NA,NA,landuse,park,cultural_park_area,square meters,0
2010,Gyeonggi-do,31,Sangnok-gu,31091,NA,NA,landuse,park,cultural_parks,count,0
2010,Gyeonggi-do,31,Sangnok-gu,31091,NA,NA,landuse,park,cultural_park_area,square meters,0
2010,Gyeonggi-do,31,Danwon-gu,31092,NA,NA,landuse,park,cultural_parks,count,0
