sido_kr,sigungu_kr,sigungu_1_kr,sigungu_2_kr,sido_en,sigun_en,sigungu_1_en,sigungu_2_en,sdsgg_en,base_year,tax_exclude
대구광역시,달성군,달성군,달성군,Daegu,Dalseong-gun,Dalseong-gun,Dalseong-gun,Dalseong-gun Daegu,2020,
경상북도,군위군,군위군,군위군,Gyeongsangbuk-do,Gunwi-gun,Gunwi-gun,Gunwi-gun,Gunwi-gun Gyeongsangbuk-do,2020,1
대구광역시,군위군,군위군,군위군,Daegu,Gunwi-gun,Gunwi-gun,Gunwi-gun,Gunwi-gun Daegu,2020,
인천광역시,중구,중구,중구,Incheon,Jung-gu,Jung-gu,Jung-gu,Jung-gu Incheon,2020,
인천광역시,동구,동구,동구,Incheon,Dong-gu,Dong-gu,Dong-gu,Dong-gu Incheon,2020,
인천광역시,연수구,연수구,연수구,Incheon,Yeonsu-gu,Yeonsu-gu,Yeonsu-gu,Yeonsu-gu Incheon,2020,
인천광역시,남동구,남동구,남동구,Incheon,Namdong-gu,Namdong-gu,Namdong-gu,Namdong-gu Incheon,2020,
인천광역시,부평구,부평구,부평구,Incheon,Bupyeong-gu,Bupyeong-gu,Bupyeong-gu,Bupyeong-gu Incheon,2020,
인천광역시,계양구,계양구,계양구,Incheon,Gyeyang-gu,Gyeyang-gu,Gyeyang-gu,Gyeyang-gu Incheon,2020,
인천광역시,서구,서구,서구,Incheon,Seo-gu,Seo-gu,Seo-gu,Seo-gu Incheon,2020,
인천광역시,미추홀구,미추홀구,미추홀구,Incheon,Michuhol-gu,Michuhol-gu,Michuhol-gu,Michuhol-gu Incheon,2020,
인천광역시,강화군,강화군,강화군,Incheon,Ganghwa-gun,Ganghwa-gun,Ganghwa-gun,Ganghwa-gun Incheon,2020,
인천광역시,옹진군,옹진군,옹진군,Incheon,Ongjin-gun,Ongjin-gun,Ongjin-gun,Ongjin-gun Incheon,2020,
광주광역시,동구,동구,동구,Gwangju,Dong-gu,Dong-gu,Dong-gu,Dong-gu Gwangju,2020,
광주광역시,서구,서구,서구,Gwangju,Seo-gu,Seo-gu,Seo-gu,Seo-gu Gwangju,2020,
광주광역시,남구,남구,남구,Gwangju,Nam-gu,Nam-gu,Nam-gu,Nam-gu Gwangju,2020,
광주광역시,북구,북구,북구,Gwangju,Buk-gu,Buk-gu,Buk-gu,Buk-gu Gwangju,2020,
광주광역시,광산구,광산구,광산구,Gwangju,Gwangsan-gu,Gwangsan-gu,Gwangsan-gu,Gwangsan-gu Gwangju,2020,
대전광역시,동구,동구,동구,Daejeon,Dong-gu,Dong-gu,Dong-gu,Dong-gu Daejeon,2020,
대전광역시,중구,중구,중구,Daejeon,Jung-gu,Jung-gu,Jung-gu,Jung-gu Daejeon,2020,
대전광역시,서구,서구,서구,Daejeon,Seo-gu,Seo-gu,Seo-gu,Seo-gu Daejeon,2020,
대전광역시,유성구,유성구,유성구,Daejeon,Yuseong-gu,Yuseong-gu,Yuseong-gu,Yuseong-gu Daejeon,2020,
대전광역시,대덕구,대덕구,대덕구,Daejeon,Daedeok-gu,Daedeok-gu,Daedeok-gu,Daedeok-gu Daejeon,2020,
울산광역시,중구,중구,중구,Ulsan,Jung-gu,Jung-gu,Jung-gu,Jung-gu Ulsan,2020,
울산광역시,남구,남구,남구,Ulsan,Nam-gu,Nam-gu,Nam-gu,Nam-gu Ulsan,2020,
울산광역시,동구,동구,동구,Ulsan,Dong-gu,Dong-gu,Dong-gu,Dong-gu Ulsan,2020,
울산광역시,북구,북구,북구,Ulsan,Buk-gu,Buk-gu,Buk-gu,Buk-gu Ulsan,2020,
울산광역시,울주군,울주군,울주군,Ulsan,Ulju-gun,Ulju-gun,Ulju-gun,Ulju-gun Ulsan,2020,
세종특별자치시,세종시,세종시,세종시,Sejong City,Sejong City,Sejong City,Sejong City,Sejong City Sejong City,2020,
경기도,수원시 장안구,수원시 ,장안구,Gyeonggi-do,Suwon-si,Jangan-gu,Jangan-gu Suwon-si,Jangan-gu Suwon-si Gyeonggi-do,2020,
경기도,수원시 권선구,수원시 ,권선구,Gyeonggi-do,Suwon-si,Gwonseon-gu,Gwonseon-gu Suwon-si,Gwonseon-gu Suwon-si Gyeonggi-do,2020,
경기도,수원시 팔달구,수원시 ,팔달구,Gyeonggi-do,Suwon-si,Paldal-gu,Paldal-gu Suwon-si,Paldal-gu Suwon-si Gyeonggi-do,2020,
경기도,수원시 영통구,수원시 ,영통구,Gyeonggi-do,Suwon-si,Yeongtong-gu,Yeongtong-gu Suwon-si,Yeongtong-gu Suwon-si Gyeonggi-do,2020,
경기도,성남시 수정구,성남시 ,수정구,Gyeonggi-do,Seongnam-si,Sujeong-gu,Sujeong-gu Seongnam-si,Sujeong-gu Seongnam-si Gyeonggi-do,2020,
경기도,성남시 중원구,성남시 ,중원구,Gyeonggi-do,Seongnam-si,Jungwon-gu,Jungwon-gu Seongnam-si,Jungwon-gu Seongnam-si Gyeonggi-do,2020,
경기도,성남시 분당구,성남시 ,분당구,Gyeonggi-do,Seongnam-si,Bundang-gu,Bundang-gu Seongnam-si,Bundang-gu Seongnam-si Gyeonggi-do,2020,
경기도,의정부시,의정부시,의정부시,Gyeonggi-do,Uijeongbu-si,Uijeongbu-si,Uijeongbu-si,Uijeongbu-si Gyeonggi-do,2020,
경기도,안양시 만안구,안양시,만안구,Gyeonggi-do,Anyang-si,Manan-gu,Manan-gu Anyang-si,Manan-gu Anyang-si Gyeonggi-do,2020,
경기도,안양시 동안구,안양시,동안구,Gyeonggi-do,Anyang-si,Dongan-gu,Dongan-gu Anyang-si,Dongan-gu Anyang-si Gyeonggi-do,2020,
경기도,부천시,부천시,부천시,Gyeonggi-do,Bucheon-si,Bucheon-si,Bucheon-si,Bucheon-si Gyeonggi-do,2020,
