"year","sggcd","type","class1","class2","unit","value"
2010,"4200112","environment","organic_matter","discharge","kg_day",1415
2010,"4200113","environment","organic_matter","discharge","kg_day",160
2010,"4200115","environment","organic_matter","discharge","kg_day",161
2010,"4200117","environment","organic_matter","discharge","kg_day",240
2010,"4200118","environment","organic_matter","discharge","kg_day",105
2010,"4200119","environment","organic_matter","discharge","kg_day",18
2010,"4200120","environment","organic_matter","discharge","kg_day",77
2010,"4200121","environment","organic_matter","discharge","kg_day",416
2010,"4200122","environment","organic_matter","discharge","kg_day",96
2010,"4200123","environment","organic_matter","discharge","kg_day",756
2010,"4200124","environment","organic_matter","discharge","kg_day",135
2010,"4200125","environment","organic_matter","discharge","kg_day",90
2010,"4200126","environment","organic_matter","discharge","kg_day",79
2010,"4200128","environment","organic_matter","discharge","kg_day",467
2010,"4200129","environment","organic_matter","discharge","kg_day",238
2010,"4200130","environment","organic_matter","discharge","kg_day",67
2010,"4200132","environment","organic_matter","discharge","kg_day",696
2010,"4200134","environment","organic_matter","discharge","kg_day",337
2010,"4200136","environment","organic_matter","discharge","kg_day",549
2010,"4200138","environment","organic_matter","discharge","kg_day",666
2010,"4200140","environment","organic_matter","discharge","kg_day",1646
2010,"4200142","environment","organic_matter","discharge","kg_day",415
2010,"4200144","environment","organic_matter","discharge","kg_day",693
2010,"4200146","environment","organic_matter","discharge","kg_day",855
2010,"4200148","environment","organic_matter","discharge","kg_day",228
2010,"4200149","environment","organic_matter","discharge","kg_day",139
2010,"4200150","environment","organic_matter","discharge","kg_day",104
2010,"4200151","environment","organic_matter","discharge","kg_day",94
2010,"4200155","environment","organic_matter","discharge","kg_day",1961
2010,"4200156","environment","organic_matter","discharge","kg_day",222
2010,"4200157","environment","organic_matter","discharge","kg_day",263
2010,"4200158","environment","organic_matter","discharge","kg_day",274
2010,"4200159","environment","organic_matter","discharge","kg_day",107
2010,"4200160","environment","organic_matter","discharge","kg_day",61
2010,"4200161","environment","organic_matter","discharge","kg_day",69
2010,"4200162","environment","organic_matter","discharge","kg_day",102
2010,"4200163","environment","organic_matter","discharge","kg_day",145
2010,"4200164","environment","organic_matter","discharge","kg_day",59
2010,"4200165","environment","organic_matter","discharge","kg_day",66
