sido_kr,sido_sgis,sgg_tax_global,C1_NM,sgg_tax_income,C1_NM_income,sggcd,sggnm_kr
강원특별자치도,32,A0506,양구군,A0406,양구군,32580,양구군
강원특별자치도,32,A0510,인제군,A0410,인제군,32590,인제군
강원특별자치도,32,A0502,고성군,A0402,고성군,32600,고성군
강원특별자치도,32,A0507,양양군,A0407,양양군,32610,양양군
충청북도,33,A0711,충주시,A0611,충주시,33020,충주시
충청북도,33,A0707,제천시,A0607,제천시,33030,제천시
충청북도,33,A0710,청주시,A0610,청주시,33040,청주시
충청북도,33,A0710,,A0610,,33041,상당구
충청북도,33,A0710,,A0610,,33042,서원구
충청북도,33,A0710,,A0610,,33043,흥덕구
충청북도,33,A0710,,A0610,,33044,청원구
충청북도,33,A0703,보은군,A0603,보은군,33520,보은군
충청북도,33,A0705,옥천군,A0605,옥천군,33530,옥천군
충청북도,33,A0704,영동군,A0604,영동군,33540,영동군
충청북도,33,A0709,진천군,A0609,진천군,33550,진천군
충청북도,33,A0701,괴산군,A0601,괴산군,33560,괴산군
충청북도,33,A0706,음성군,A0606,음성군,33570,음성군
충청북도,33,A0702,단양군,A0602,단양군,33580,단양군
충청북도,33,A0708,증평군,A0608,증평군,33590,증평군
충청남도,34,A0812,천안시,A0712,천안시,34010,천안시
충청남도,34,A0812,,A0712,,34011,동남구
충청남도,34,A0812,,A0712,,34012,서북구
충청남도,34,A0802,공주시,A0702,공주시,34020,공주시
충청남도,34,A0806,보령시,A0706,보령시,34030,보령시
충청남도,34,A0810,아산시,A0710,아산시,34040,아산시
충청남도,34,A0808,서산시,A0708,서산시,34050,서산시
충청남도,34,A0804,논산시,A0704,논산시,34060,논산시
충청남도,34,A0801,계룡시,A0701,계룡시,34070,계룡시
충청남도,34,A0805,당진시,A0705,당진시,34080,당진시
충청남도,34,A0803,금산군,A0703,금산군,34510,금산군
충청남도,34,A0807,부여군,A0707,부여군,34530,부여군
충청남도,34,A0809,서천군,A0709,서천군,34540,서천군
충청남도,34,A0813,청양군,A0713,청양군,34550,청양군
충청남도,34,A0815,홍성군,A0715,홍성군,34560,홍성군
충청남도,34,A0811,예산군,A0711,예산군,34570,예산군
충청남도,34,A0814,태안군,A0714,태안군,34580,태안군
전북특별자치도,35,A1112,전주시,A1012,전주시,35010,전주시
전북특별자치도,35,A1112,,A1012,,35011,완산구
전북특별자치도,35,A1112,,A1012,,35012,덕진구
전북특별자치도,35,A1102,군산시,A1002,군산시,35020,군산시
전북특별자치도,35,A1109,익산시,A1009,익산시,35030,익산시
전북특별자치도,35,A1113,정읍시,A1013,정읍시,35040,정읍시
전북특별자치도,35,A1104,남원시,A1004,남원시,35050,남원시
전북특별자치도,35,A1103,김제시,A1003,김제시,35060,김제시
전북특별자치도,35,A1108,완주군,A1008,완주군,35510,완주군
전북특별자치도,35,A1114,진안군,A1014,진안군,35520,진안군
전북특별자치도,35,A1105,무주군,A1005,무주군,35530,무주군
전북특별자치도,35,A1111,장수군,A1011,장수군,35540,장수군
전북특별자치도,35,A1110,임실군,A1010,임실군,35550,임실군
전북특별자치도,35,A1107,순창군,A1007,순창군,35560,순창군
전북특별자치도,35,A1101,고창군,A1001,고창군,35570,고창군
전북특별자치도,35,A1106,부안군,A1006,부안군,35580,부안군
전라남도,36,A1208,목포시,A1108,목포시,36010,목포시
전라남도,36,A1213,여수시,A1113,여수시,36020,여수시
전라남도,36,A1211,순천시,A1111,순천시,36030,순천시
전라남도,36,A1206,나주시,A1106,나주시,36040,나주시
전라남도,36,A1204,광양시,A1104,광양시,36060,광양시
전라남도,36,A1207,담양군,A1107,담양군,36510,담양군
전라남도,36,A1203,곡성군,A1103,곡성군,36520,곡성군
전라남도,36,A1205,구례군,A1105,구례군,36530,구례군
전라남도,36,A1202,고흥군,A1102,고흥군,36550,고흥군
전라남도,36,A1210,보성군,A1110,보성군,36560,보성군
전라남도,36,A1222,화순군,A1122,화순군,36570,화순군
전라남도,36,A1218,장흥군,A1118,장흥군,36580,장흥군
전라남도,36,A1201,강진군,A1101,강진군,36590,강진군
전라남도,36,A1221,해남군,A1121,해남군,36600,해남군
전라남도,36,A1215,영암군,A1115,영암군,36610,영암군
전라남도,36,A1209,무안군,A1109,무안군,36620,무안군
전라남도,36,A1220,함평군,A1120,함평군,36630,함평군
전라남도,36,A1214,영광군,A1114,영광군,36640,영광군
전라남도,36,A1217,장성군,A1117,장성군,36650,장성군
전라남도,36,A1216,완도군,A1116,완도군,36660,완도군
전라남도,36,A1219,진도군,A1119,진도군,36670,진도군
전라남도,36,A1212,신안군,A1112,신안군,36680,신안군
경상북도,37,A1423,포항시,A1323,포항시,37010,포항시
경상북도,37,A1423,,A1323,,37011,남구
경상북도,37,A1423,,A1323,,37012,북구
경상북도,37,A1402,경주시,A1302,경주시,37020,경주시
경상북도,37,A1406,김천시,A1306,김천시,37030,김천시
경상북도,37,A1411,안동시,A1311,안동시,37040,안동시
경상북도,37,A1404,구미시,A1304,구미시,37050,구미시
경상북도,37,A1414,영주시,A1314,영주시,37060,영주시
경상북도,37,A1415,영천시,A1315,영천시,37070,영천시
경상북도,37,A1409,상주시,A1309,상주시,37080,상주시
경상북도,37,A1407,문경시,A1307,문경시,37090,문경시
경상북도,37,A1401,경산시,A1301,경산시,37100,경산시
경상북도,37,A1419,의성군,A1319,의성군,37520,의성군
경상북도,37,A1421,청송군,A1321,청송군,37530,청송군
경상북도,37,A1413,영양군,A1313,영양군,37540,영양군
경상북도,37,A1412,영덕군,A1312,영덕군,37550,영덕군
경상북도,37,A1420,청도군,A1320,청도군,37560,청도군
경상북도,37,A1403,고령군,A1303,고령군,37570,고령군
경상북도,37,A1410,성주군,A1310,성주군,37580,성주군
경상북도,37,A1422,칠곡군,A1322,칠곡군,37590,칠곡군
경상북도,37,A1416,예천군,A1316,예천군,37600,예천군
경상북도,37,A1408,봉화군,A1308,봉화군,37610,봉화군
경상북도,37,A1418,울진군,A1318,울진군,37620,울진군
경상북도,37,A1417,울릉군,A1317,울릉군,37630,울릉군
경상남도,38,A1711,진주시,A1611,진주시,38030,진주시
경상남도,38,A1714,통영시,A1614,통영시,38050,통영시
경상남도,38,A1707,사천시,A1607,사천시,38060,사천시
경상남도,38,A1704,김해시,A1604,김해시,38070,김해시
경상남도,38,A1706,밀양시,A1606,밀양시,38080,밀양시
경상남도,38,A1701,거제시,A1601,거제시,38090,거제시
경상남도,38,A1709,양산시,A1609,양산시,38100,양산시
경상남도,38,A1713,창원시,A1613,창원시,38110,창원시
경상남도,38,A1713,,A1613,창원시,38111,의창구
경상남도,38,A1713,,A1613,창원시,38112,성산구
경상남도,38,A1713,,A1613,창원시,38113,마산합포구
경상남도,38,A1713,,A1613,창원시,38114,마산회원구
경상남도,38,A1713,,A1613,창원시,38115,진해구
경상남도,38,A1710,의령군,A1610,의령군,38510,의령군
경상남도,38,A1716,함안군,A1616,함안군,38520,함안군
경상남도,38,A1712,창녕군,A1612,창녕군,38530,창녕군
경상남도,38,A1703,고성군,A1603,고성군,38540,고성군
경상남도,38,A1705,남해군,A1605,남해군,38550,남해군
경상남도,38,A1715,하동군,A1615,하동군,38560,하동군
경상남도,38,A1708,산청군,A1608,산청군,38570,산청군
경상남도,38,A1717,함양군,A1617,함양군,38580,함양군
경상남도,38,A1702,거창군,A1602,거창군,38590,거창군
경상남도,38,A1718,합천군,A1618,합천군,38600,합천군
제주특별자치도,39,A1801,제주시,A1701,제주시,39010,제주시
제주특별자치도,39,A1802,서귀포시,A1702,서귀포시,39020,서귀포시
