"year","adm1","adm2","adm2_code","type","class1","class2","unit","value"
2015,"Chungcheongbuk-do","Danyang-gun",33380,"economy","company","total","count","2969"
2010,"Chungcheongbuk-do","Jeungpyeong-gun",33390,"economy","company","total","count","2294"
2020,"Chungcheongbuk-do","Jeungpyeong-gun",33390,"economy","company","total","count","4474"
2015,"Chungcheongbuk-do","Jeungpyeong-gun",33390,"economy","company","total","count","2671"
2020,"Chungcheongnam-do","Cheonan-si",34010,"economy","company","total","count","73365"
2010,"Chungcheongnam-do","Cheonan-si",34010,"economy","company","total","count","36095"
2015,"Chungcheongnam-do","Cheonan-si",34010,"economy","company","total","count","46226"
2010,"Chungcheongnam-do","Dongnam-gu",34011,"economy","company","total","count","16933"
2015,"Chungcheongnam-do","Dongnam-gu",34011,"economy","company","total","count","21197"
2020,"Chungcheongnam-do","Dongnam-gu",34011,"economy","company","total","count","32625"
2020,"Chungcheongnam-do","Seobuk-gu",34012,"economy","company","total","count","40740"
2015,"Chungcheongnam-do","Seobuk-gu",34012,"economy","company","total","count","25029"
2010,"Chungcheongnam-do","Seobuk-gu",34012,"economy","company","total","count","19162"
2010,"Chungcheongnam-do","Gongju-si",34020,"economy","company","total","count","8012"
2020,"Chungcheongnam-do","Gongju-si",34020,"economy","company","total","count","13848"
2015,"Chungcheongnam-do","Gongju-si",34020,"economy","company","total","count","8866"
2010,"Chungcheongnam-do","Boryeong-si",34030,"economy","company","total","count","7601"
2015,"Chungcheongnam-do","Boryeong-si",34030,"economy","company","total","count","8425"
2020,"Chungcheongnam-do","Boryeong-si",34030,"economy","company","total","count","13142"
2010,"Chungcheongnam-do","Asan-si",34040,"economy","company","total","count","14406"
2015,"Chungcheongnam-do","Asan-si",34040,"economy","company","total","count","19858"
2020,"Chungcheongnam-do","Asan-si",34040,"economy","company","total","count","34436"
2010,"Chungcheongnam-do","Seosan-si",34050,"economy","company","total","count","9926"
2015,"Chungcheongnam-do","Seosan-si",34050,"economy","company","total","count","11866"
2020,"Chungcheongnam-do","Seosan-si",34050,"economy","company","total","count","19112"
2020,"Chungcheongnam-do","Nonsan-si",34060,"economy","company","total","count","16015"
2010,"Chungcheongnam-do","Nonsan-si",34060,"economy","company","total","count","9243"
2015,"Chungcheongnam-do","Nonsan-si",34060,"economy","company","total","count","10616"
2020,"Chungcheongnam-do","Gyeryong-si",34070,"economy","company","total","count","3217"
2015,"Chungcheongnam-do","Gyeryong-si",34070,"economy","company","total","count","2083"
2010,"Chungcheongnam-do","Gyeryong-si",34070,"economy","company","total","count","1780"
2020,"Chungcheongnam-do","Dangjin-si",34080,"economy","company","total","count","20189"
2015,"Chungcheongnam-do","Dangjin-si",34080,"economy","company","total","count","12125"
2020,"Chungcheongnam-do","Geumsan-gun",34310,"economy","company","total","count","8909"
2015,"Chungcheongnam-do","Geumsan-gun",34310,"economy","company","total","count","5537"
2010,"Chungcheongnam-do","Geumsan-gun",34310,"economy","company","total","count","4757"
2010,NA,NA,34320,"economy","company","total","count","4943"
2015,"Chungcheongnam-do","Buyeo-gun",34330,"economy","company","total","count","4884"
2020,"Chungcheongnam-do","Buyeo-gun",34330,"economy","company","total","count","7804"
2010,"Chungcheongnam-do","Buyeo-gun",34330,"economy","company","total","count","4712"
2020,"Chungcheongnam-do","Seocheon-gun",34340,"economy","company","total","count","7206"
2015,"Chungcheongnam-do","Seocheon-gun",34340,"economy","company","total","count","4564"
2010,"Chungcheongnam-do","Seocheon-gun",34340,"economy","company","total","count","4364"
2020,"Chungcheongnam-do","Cheongyang-gun",34350,"economy","company","total","count","4444"
2010,"Chungcheongnam-do","Cheongyang-gun",34350,"economy","company","total","count","2075"
2015,"Chungcheongnam-do","Cheongyang-gun",34350,"economy","company","total","count","2934"
2020,"Chungcheongnam-do","Hongseong-gun",34360,"economy","company","total","count","12176"
2015,"Chungcheongnam-do","Hongseong-gun",34360,"economy","company","total","count","7668"
2010,"Chungcheongnam-do","Hongseong-gun",34360,"economy","company","total","count","6546"
2020,"Chungcheongnam-do","Yesan-gun",34370,"economy","company","total","count","10431"
2010,"Chungcheongnam-do","Yesan-gun",34370,"economy","company","total","count","5898"
2015,"Chungcheongnam-do","Yesan-gun",34370,"economy","company","total","count","6773"
2020,"Chungcheongnam-do","Taean-gun",34380,"economy","company","total","count","8898"
2010,"Chungcheongnam-do","Taean-gun",34380,"economy","company","total","count","4981"
2015,"Chungcheongnam-do","Taean-gun",34380,"economy","company","total","count","5881"
2010,NA,NA,34390,"economy","company","total","count","8978"
2020,"Jeollabuk-do","Jeonju-si",35010,"economy","company","total","count","76263"
2010,"Jeollabuk-do","Jeonju-si",35010,"economy","company","total","count","42052"
2015,"Jeollabuk-do","Jeonju-si",35010,"economy","company","total","count","52338"
2010,"Jeollabuk-do","Wansan-gu",35011,"economy","company","total","count","24357"
2015,"Jeollabuk-do","Wansan-gu",35011,"economy","company","total","count","29811"
2020,"Jeollabuk-do","Wansan-gu",35011,"economy","company","total","count","41716"
2010,"Jeollabuk-do","Deokjin-gu",35012,"economy","company","total","count","17695"
2020,"Jeollabuk-do","Deokjin-gu",35012,"economy","company","total","count","34547"
2015,"Jeollabuk-do","Deokjin-gu",35012,"economy","company","total","count","22527"
2020,"Jeollabuk-do","Gunsan-si",35020,"economy","company","total","count","32326"
2015,"Jeollabuk-do","Gunsan-si",35020,"economy","company","total","count","22238"
2010,"Jeollabuk-do","Gunsan-si",35020,"economy","company","total","count","19938"
2010,"Jeollabuk-do","Iksan-si",35030,"economy","company","total","count","20027"
2020,"Jeollabuk-do","Iksan-si",35030,"economy","company","total","count","34546"
2015,"Jeollabuk-do","Iksan-si",35030,"economy","company","total","count","22895"
2020,"Jeollabuk-do","Jeongeup-si",35040,"economy","company","total","count","15137"
2015,"Jeollabuk-do","Jeongeup-si",35040,"economy","company","total","count","8864"
2010,"Jeollabuk-do","Jeongeup-si",35040,"economy","company","total","count","7995"
2015,"Jeollabuk-do","Namwon-si",35050,"economy","company","total","count","7191"
2010,"Jeollabuk-do","Namwon-si",35050,"economy","company","total","count","6509"
2020,"Jeollabuk-do","Namwon-si",35050,"economy","company","total","count","11437"
2015,"Jeollabuk-do","Gimje-si",35060,"economy","company","total","count","7049"
2020,"Jeollabuk-do","Gimje-si",35060,"economy","company","total","count","12660"
2010,"Jeollabuk-do","Gimje-si",35060,"economy","company","total","count","6264"
2020,"Jeollabuk-do","Wanju-gun",35310,"economy","company","total","count","12336"
2010,"Jeollabuk-do","Wanju-gun",35310,"economy","company","total","count","4536"
2015,"Jeollabuk-do","Wanju-gun",35310,"economy","company","total","count","6377"
2020,"Jeollabuk-do","Jinan-gun",35320,"economy","company","total","count","3230"
2010,"Jeollabuk-do","Jinan-gun",35320,"economy","company","total","count","1449"
2015,"Jeollabuk-do","Jinan-gun",35320,"economy","company","total","count","1841"
2010,"Jeollabuk-do","Muju-gun",35330,"economy","company","total","count","1992"
2015,"Jeollabuk-do","Muju-gun",35330,"economy","company","total","count","2275"
2020,"Jeollabuk-do","Muju-gun",35330,"economy","company","total","count","3381"
2015,"Jeollabuk-do","Jangsu-gun",35340,"economy","company","total","count","1454"
2020,"Jeollabuk-do","Jangsu-gun",35340,"economy","company","total","count","2972"
2010,"Jeollabuk-do","Jangsu-gun",35340,"economy","company","total","count","1360"
2020,"Jeollabuk-do","Imsil-gun",35350,"economy","company","total","count","4042"
2010,"Jeollabuk-do","Imsil-gun",35350,"economy","company","total","count","1932"
2015,"Jeollabuk-do","Imsil-gun",35350,"economy","company","total","count","2245"
2020,"Jeollabuk-do","Sunchang-gun",35360,"economy","company","total","count","3132"
2010,"Jeollabuk-do","Sunchang-gun",35360,"economy","company","total","count","2018"
2015,"Jeollabuk-do","Sunchang-gun",35360,"economy","company","total","count","2164"
2010,"Jeollabuk-do","Gochang-gun",35370,"economy","company","total","count","4143"
2020,"Jeollabuk-do","Gochang-gun",35370,"economy","company","total","count","7036"
2015,"Jeollabuk-do","Gochang-gun",35370,"economy","company","total","count","4937"
2015,"Jeollabuk-do","Buan-gun",35380,"economy","company","total","count","4784"
2010,"Jeollabuk-do","Buan-gun",35380,"economy","company","total","count","4490"
2020,"Jeollabuk-do","Buan-gun",35380,"economy","company","total","count","7466"
2020,"Jeollanam-do","Mokpo-si",36010,"economy","company","total","count","28781"
2015,"Jeollanam-do","Mokpo-si",36010,"economy","company","total","count","20519"
2010,"Jeollanam-do","Mokpo-si",36010,"economy","company","total","count","19109"
2020,"Jeollanam-do","Yeosu-si",36020,"economy","company","total","count","33046"
2010,"Jeollanam-do","Yeosu-si",36020,"economy","company","total","count","20177"
2015,"Jeollanam-do","Yeosu-si",36020,"economy","company","total","count","22847"
2010,"Jeollanam-do","Suncheon-si",36030,"economy","company","total","count","17565"
2020,"Jeollanam-do","Suncheon-si",36030,"economy","company","total","count","31691"
2015,"Jeollanam-do","Suncheon-si",36030,"economy","company","total","count","21042"
2015,"Jeollanam-do","Naju-si",36040,"economy","company","total","count","7150"
2010,"Jeollanam-do","Naju-si",36040,"economy","company","total","count","5504"
2020,"Jeollanam-do","Naju-si",36040,"economy","company","total","count","14796"
2015,"Jeollanam-do","Gwangyang-si",36060,"economy","company","total","count","11014"
2020,"Jeollanam-do","Gwangyang-si",36060,"economy","company","total","count","18478"
2010,"Jeollanam-do","Gwangyang-si",36060,"economy","company","total","count","9621"
2020,"Jeollanam-do","Damyang-gun",36310,"economy","company","total","count","6783"
2010,"Jeollanam-do","Damyang-gun",36310,"economy","company","total","count","2805"
2015,"Jeollanam-do","Damyang-gun",36310,"economy","company","total","count","3731"
2020,"Jeollanam-do","Gokseong-gun",36320,"economy","company","total","count","3554"
2010,"Jeollanam-do","Gokseong-gun",36320,"economy","company","total","count","1648"
2015,"Jeollanam-do","Gokseong-gun",36320,"economy","company","total","count","2057"
2010,"Jeollanam-do","Gurye-gun",36330,"economy","company","total","count","2099"
2015,"Jeollanam-do","Gurye-gun",36330,"economy","company","total","count","2268"
2020,"Jeollanam-do","Gurye-gun",36330,"economy","company","total","count","3163"
2015,"Jeollanam-do","Goheung-gun",36350,"economy","company","total","count","5083"
2020,"Jeollanam-do","Goheung-gun",36350,"economy","company","total","count","7555"
2010,"Jeollanam-do","Goheung-gun",36350,"economy","company","total","count","4606"
2020,"Jeollanam-do","Boseong-gun",36360,"economy","company","total","count","5030"
2010,"Jeollanam-do","Boseong-gun",36360,"economy","company","total","count","3156"
2015,"Jeollanam-do","Boseong-gun",36360,"economy","company","total","count","3894"
2020,"Jeollanam-do","Hwasun-gun",36370,"economy","company","total","count","7395"
2015,"Jeollanam-do","Hwasun-gun",36370,"economy","company","total","count","4952"
2010,"Jeollanam-do","Hwasun-gun",36370,"economy","company","total","count","3995"
2020,"Jeollanam-do","Jangheung-gun",36380,"economy","company","total","count","4789"
2010,"Jeollanam-do","Jangheung-gun",36380,"economy","company","total","count","3046"
2015,"Jeollanam-do","Jangheung-gun",36380,"economy","company","total","count","3678"
2020,"Jeollanam-do","Gangjin-gun",36390,"economy","company","total","count","5457"
2015,"Jeollanam-do","Gangjin-gun",36390,"economy","company","total","count","3070"
2010,"Jeollanam-do","Gangjin-gun",36390,"economy","company","total","count","2599"
2010,"Jeollanam-do","Haenam-gun",36400,"economy","company","total","count","5117"
2020,"Jeollanam-do","Haenam-gun",36400,"economy","company","total","count","8903"
2015,"Jeollanam-do","Haenam-gun",36400,"economy","company","total","count","5558"
2020,"Jeollanam-do","Yeongam-gun",36410,"economy","company","total","count","7769"
2015,"Jeollanam-do","Yeongam-gun",36410,"economy","company","total","count","4599"
2010,"Jeollanam-do","Yeongam-gun",36410,"economy","company","total","count","3167"
2010,"Jeollanam-do","Muan-gun",36420,"economy","company","total","count","3706"
2020,"Jeollanam-do","Muan-gun",36420,"economy","company","total","count","9473"
2015,"Jeollanam-do","Muan-gun",36420,"economy","company","total","count","5164"
2010,"Jeollanam-do","Hampyeong-gun",36430,"economy","company","total","count","2084"
2015,"Jeollanam-do","Hampyeong-gun",36430,"economy","company","total","count","2385"
2020,"Jeollanam-do","Hampyeong-gun",36430,"economy","company","total","count","3858"
2015,"Jeollanam-do","Yeonggwang-gun",36440,"economy","company","total","count","4766"
2020,"Jeollanam-do","Yeonggwang-gun",36440,"economy","company","total","count","6675"
2010,"Jeollanam-do","Yeonggwang-gun",36440,"economy","company","total","count","3988"
2015,"Jeollanam-do","Jangseong-gun",36450,"economy","company","total","count","3184"
2020,"Jeollanam-do","Jangseong-gun",36450,"economy","company","total","count","6265"
2010,"Jeollanam-do","Jangseong-gun",36450,"economy","company","total","count","2617"
2020,"Jeollanam-do","Wando-gun",36460,"economy","company","total","count","6342"
2010,"Jeollanam-do","Wando-gun",36460,"economy","company","total","count","3612"
2015,"Jeollanam-do","Wando-gun",36460,"economy","company","total","count","4240"
2010,"Jeollanam-do","Jindo-gun",36470,"economy","company","total","count","2260"
2020,"Jeollanam-do","Jindo-gun",36470,"economy","company","total","count","3988"
2015,"Jeollanam-do","Jindo-gun",36470,"economy","company","total","count","2815"
2015,"Jeollanam-do","Sinan-gun",36480,"economy","company","total","count","3180"
2010,"Jeollanam-do","Sinan-gun",36480,"economy","company","total","count","2914"
2020,"Jeollanam-do","Sinan-gun",36480,"economy","company","total","count","4428"
2020,"Gyeongsangbuk-do","Pohang-si",37010,"economy","company","total","count","58581"
2010,"Gyeongsangbuk-do","Pohang-si",37010,"economy","company","total","count","36052"
2015,"Gyeongsangbuk-do","Pohang-si",37010,"economy","company","total","count","40356"
2020,"Gyeongsangbuk-do","Nam-gu",37011,"economy","company","total","count","29454"
2010,"Gyeongsangbuk-do","Nam-gu",37011,"economy","company","total","count","17359"
2015,"Gyeongsangbuk-do","Nam-gu",37011,"economy","company","total","count","19781"
2020,"Gyeongsangbuk-do","Buk-gu",37012,"economy","company","total","count","29127"
2010,"Gyeongsangbuk-do","Buk-gu",37012,"economy","company","total","count","18693"
2015,"Gyeongsangbuk-do","Buk-gu",37012,"economy","company","total","count","20575"
2010,"Gyeongsangbuk-do","Gyeongju-si",37020,"economy","company","total","count","19845"
2015,"Gyeongsangbuk-do","Gyeongju-si",37020,"economy","company","total","count","23531"
2020,"Gyeongsangbuk-do","Gyeongju-si",37020,"economy","company","total","count","33233"
2010,"Gyeongsangbuk-do","Gimcheon-si",37030,"economy","company","total","count","8836"
2020,"Gyeongsangbuk-do","Gimcheon-si",37030,"economy","company","total","count","14843"
2015,"Gyeongsangbuk-do","Gimcheon-si",37030,"economy","company","total","count","9837"
2020,"Gyeongsangbuk-do","Andong-si",37040,"economy","company","total","count","19976"
2015,"Gyeongsangbuk-do","Andong-si",37040,"economy","company","total","count","13526"
2010,"Gyeongsangbuk-do","Andong-si",37040,"economy","company","total","count","12469"
2010,"Gyeongsangbuk-do","Gumi-si",37050,"economy","company","total","count","26207"
2020,"Gyeongsangbuk-do","Gumi-si",37050,"economy","company","total","count","46784"
2015,"Gyeongsangbuk-do","Gumi-si",37050,"economy","company","total","count","33464"
2020,"Gyeongsangbuk-do","Yeongju-si",37060,"economy","company","total","count","13324"
2015,"Gyeongsangbuk-do","Yeongju-si",37060,"economy","company","total","count","9454"
2010,"Gyeongsangbuk-do","Yeongju-si",37060,"economy","company","total","count","8631"
2015,"Gyeongsangbuk-do","Yeongcheon-si",37070,"economy","company","total","count","8606"
2020,"Gyeongsangbuk-do","Yeongcheon-si",37070,"economy","company","total","count","13798"
2010,"Gyeongsangbuk-do","Yeongcheon-si",37070,"economy","company","total","count","7410"
2015,"Gyeongsangbuk-do","Sangju-si",37080,"economy","company","total","count","7567"
2010,"Gyeongsangbuk-do","Sangju-si",37080,"economy","company","total","count","6974"
2020,"Gyeongsangbuk-do","Sangju-si",37080,"economy","company","total","count","12341"
2010,"Gyeongsangbuk-do","Mungyeong-si",37090,"economy","company","total","count","5592"
2015,"Gyeongsangbuk-do","Mungyeong-si",37090,"economy","company","total","count","6021"
2020,"Gyeongsangbuk-do","Mungyeong-si",37090,"economy","company","total","count","8318"
2010,"Gyeongsangbuk-do","Gyeongsan-si",37100,"economy","company","total","count","15244"
2020,"Gyeongsangbuk-do","Gyeongsan-si",37100,"economy","company","total","count","29875"
2015,"Gyeongsangbuk-do","Gyeongsan-si",37100,"economy","company","total","count","19016"
2010,"Gyeongsangbuk-do","Gunwi-gun",37310,"economy","company","total","count","1540"
2015,"Gyeongsangbuk-do","Gunwi-gun",37310,"economy","company","total","count","1835"
2020,"Gyeongsangbuk-do","Gunwi-gun",37310,"economy","company","total","count","3167"
2015,"Gyeongsangbuk-do","Uiseong-gun",37320,"economy","company","total","count","4053"
2010,"Gyeongsangbuk-do","Uiseong-gun",37320,"economy","company","total","count","3652"
2020,"Gyeongsangbuk-do","Uiseong-gun",37320,"economy","company","total","count","6072"
2010,"Gyeongsangbuk-do","Cheongsong-gun",37330,"economy","company","total","count","1986"
2015,"Gyeongsangbuk-do","Cheongsong-gun",37330,"economy","company","total","count","2169"
2020,"Gyeongsangbuk-do","Cheongsong-gun",37330,"economy","company","total","count","2981"
2010,"Gyeongsangbuk-do","Yeongyang-gun",37340,"economy","company","total","count","1127"
2020,"Gyeongsangbuk-do","Yeongyang-gun",37340,"economy","company","total","count","1766"
2015,"Gyeongsangbuk-do","Yeongyang-gun",37340,"economy","company","total","count","1271"
2020,"Gyeongsangbuk-do","Yeongdeok-gun",37350,"economy","company","total","count","5256"
2010,"Gyeongsangbuk-do","Yeongdeok-gun",37350,"economy","company","total","count","3413"
2015,"Gyeongsangbuk-do","Yeongdeok-gun",37350,"economy","company","total","count","3847"
2015,"Gyeongsangbuk-do","Cheongdo-gun",37360,"economy","company","total","count","3779"
2010,"Gyeongsangbuk-do","Cheongdo-gun",37360,"economy","company","total","count","3128"
2020,"Gyeongsangbuk-do","Cheongdo-gun",37360,"economy","company","total","count","5372"
2015,"Gyeongsangbuk-do","Goryeong-gun",37370,"economy","company","total","count","3680"
2010,"Gyeongsangbuk-do","Goryeong-gun",37370,"economy","company","total","count","2819"
2020,"Gyeongsangbuk-do","Goryeong-gun",37370,"economy","company","total","count","5368"
2010,"Gyeongsangbuk-do","Seongju-gun",37380,"economy","company","total","count","3114"
2020,"Gyeongsangbuk-do","Seongju-gun",37380,"economy","company","total","count","7235"
2015,"Gyeongsangbuk-do","Seongju-gun",37380,"economy","company","total","count","4259"
2010,"Gyeongsangbuk-do","Chilgok-gun",37390,"economy","company","total","count","8214"
2020,"Gyeongsangbuk-do","Chilgok-gun",37390,"economy","company","total","count","16997"
2015,"Gyeongsangbuk-do","Chilgok-gun",37390,"economy","company","total","count","10976"
2015,"Gyeongsangbuk-do","Yecheon-gun",37400,"economy","company","total","count","3326"
2020,"Gyeongsangbuk-do","Yecheon-gun",37400,"economy","company","total","count","5303"
2010,"Gyeongsangbuk-do","Yecheon-gun",37400,"economy","company","total","count","3067"
2015,"Gyeongsangbuk-do","Bonghwa-gun",37410,"economy","company","total","count","2433"
2010,"Gyeongsangbuk-do","Bonghwa-gun",37410,"economy","company","total","count","2295"
2020,"Gyeongsangbuk-do","Bonghwa-gun",37410,"economy","company","total","count","3330"
2010,"Gyeongsangbuk-do","Uljin-gun",37420,"economy","company","total","count","4005"
2015,"Gyeongsangbuk-do","Uljin-gun",37420,"economy","company","total","count","4531"
2020,"Gyeongsangbuk-do","Uljin-gun",37420,"economy","company","total","count","5742"
2010,"Gyeongsangbuk-do","Ulleung-gun",37430,"economy","company","total","count","1073"
2020,"Gyeongsangbuk-do","Ulleung-gun",37430,"economy","company","total","count","1399"
2015,"Gyeongsangbuk-do","Ulleung-gun",37430,"economy","company","total","count","1258"
2020,"Gyeongsangnam-do","Jinju-si",38030,"economy","company","total","count","40850"
2010,"Gyeongsangnam-do","Jinju-si",38030,"economy","company","total","count","26011"
2015,"Gyeongsangnam-do","Jinju-si",38030,"economy","company","total","count","28055"
2015,"Gyeongsangnam-do","Tongyeong-si",38050,"economy","company","total","count","11034"
2010,"Gyeongsangnam-do","Tongyeong-si",38050,"economy","company","total","count","9805"
2020,"Gyeongsangnam-do","Tongyeong-si",38050,"economy","company","total","count","14831"
2010,"Gyeongsangnam-do","Sacheon-si",38060,"economy","company","total","count","8365"
2015,"Gyeongsangnam-do","Sacheon-si",38060,"economy","company","total","count","9591"
2020,"Gyeongsangnam-do","Sacheon-si",38060,"economy","company","total","count","13146"
2020,"Gyeongsangnam-do","Gimhae-si",38070,"economy","company","total","count","66649"
2010,"Gyeongsangnam-do","Gimhae-si",38070,"economy","company","total","count","34861"
2015,"Gyeongsangnam-do","Gimhae-si",38070,"economy","company","total","count","43387"
2020,"Gyeongsangnam-do","Miryang-si",38080,"economy","company","total","count","13462"
2010,"Gyeongsangnam-do","Miryang-si",38080,"economy","company","total","count","7820"
2015,"Gyeongsangnam-do","Miryang-si",38080,"economy","company","total","count","8965"
2015,"Gyeongsangnam-do","Geoje-si",38090,"economy","company","total","count","15326"
2010,"Gyeongsangnam-do","Geoje-si",38090,"economy","company","total","count","12834"
2020,"Gyeongsangnam-do","Geoje-si",38090,"economy","company","total","count","22180"
2010,"Gyeongsangnam-do","Yangsan-si",38100,"economy","company","total","count","17028"
2015,"Gyeongsangnam-do","Yangsan-si",38100,"economy","company","total","count","21904"
2020,"Gyeongsangnam-do","Yangsan-si",38100,"economy","company","total","count","41440"
2010,"Gyeongsangnam-do","Changwon-si",38110,"economy","company","total","count","73132"
2015,"Gyeongsangnam-do","Changwon-si",38110,"economy","company","total","count","83187"
2020,"Gyeongsangnam-do","Changwon-si",38110,"economy","company","total","count","114518"
2015,"Gyeongsangnam-do","Uichang-gu",38111,"economy","company","total","count","22256"
2010,"Gyeongsangnam-do","Uichang-gu",38111,"economy","company","total","count","19704"
2020,"Gyeongsangnam-do","Uichang-gu",38111,"economy","company","total","count","31246"
2020,"Gyeongsangnam-do","Seongsan-gu",38112,"economy","company","total","count","24659"
2010,"Gyeongsangnam-do","Seongsan-gu",38112,"economy","company","total","count","13933"
2015,"Gyeongsangnam-do","Seongsan-gu",38112,"economy","company","total","count","18144"
2010,"Gyeongsangnam-do","Masanhappo-gu",38113,"economy","company","total","count","15393"
2015,"Gyeongsangnam-do","Masanhappo-gu",38113,"economy","company","total","count","17214"
2020,"Gyeongsangnam-do","Masanhappo-gu",38113,"economy","company","total","count","22579"
2015,"Gyeongsangnam-do","Masanhoewon-gu",38114,"economy","company","total","count","15133"
2010,"Gyeongsangnam-do","Masanhoewon-gu",38114,"economy","company","total","count","14555"
2020,"Gyeongsangnam-do","Masanhoewon-gu",38114,"economy","company","total","count","20848"
2010,"Gyeongsangnam-do","Jinhae-gu",38115,"economy","company","total","count","9547"
2015,"Gyeongsangnam-do","Jinhae-gu",38115,"economy","company","total","count","10440"
2020,"Gyeongsangnam-do","Jinhae-gu",38115,"economy","company","total","count","15186"
2010,"Gyeongsangnam-do","Uiryeong-gun",38310,"economy","company","total","count","1765"
2020,"Gyeongsangnam-do","Uiryeong-gun",38310,"economy","company","total","count","3051"
2015,"Gyeongsangnam-do","Uiryeong-gun",38310,"economy","company","total","count","1933"
2020,"Gyeongsangnam-do","Haman-gun",38320,"economy","company","total","count","10977"
2015,"Gyeongsangnam-do","Haman-gun",38320,"economy","company","total","count","6906"
2010,"Gyeongsangnam-do","Haman-gun",38320,"economy","company","total","count","4744"
2015,"Gyeongsangnam-do","Changnyeong-gun",38330,"economy","company","total","count","5163"
2010,"Gyeongsangnam-do","Changnyeong-gun",38330,"economy","company","total","count","4354"
2020,"Gyeongsangnam-do","Changnyeong-gun",38330,"economy","company","total","count","6921"
2010,"Gyeongsangnam-do","Goseong-gun",38340,"economy","company","total","count","3824"
2020,"Gyeongsangnam-do","Goseong-gun",38340,"economy","company","total","count","6093"
2015,"Gyeongsangnam-do","Goseong-gun",38340,"economy","company","total","count","4552"
2010,"Gyeongsangnam-do","Namhae-gun",38350,"economy","company","total","count","4019"
2020,"Gyeongsangnam-do","Namhae-gun",38350,"economy","company","total","count","5538"
2015,"Gyeongsangnam-do","Namhae-gun",38350,"economy","company","total","count","4388"
2020,"Gyeongsangnam-do","Hadong-gun",38360,"economy","company","total","count","5832"
2015,"Gyeongsangnam-do","Hadong-gun",38360,"economy","company","total","count","3927"
2010,"Gyeongsangnam-do","Hadong-gun",38360,"economy","company","total","count","3373"
2020,"Gyeongsangnam-do","Sancheong-gun",38370,"economy","company","total","count","4743"
2015,"Gyeongsangnam-do","Sancheong-gun",38370,"economy","company","total","count","3117"
2010,"Gyeongsangnam-do","Sancheong-gun",38370,"economy","company","total","count","2190"
2010,"Gyeongsangnam-do","Hamyang-gun",38380,"economy","company","total","count","3007"
2015,"Gyeongsangnam-do","Hamyang-gun",38380,"economy","company","total","count","3372"
2020,"Gyeongsangnam-do","Hamyang-gun",38380,"economy","company","total","count","4545"
2010,"Gyeongsangnam-do","Geochang-gun",38390,"economy","company","total","count","4256"
2020,"Gyeongsangnam-do","Geochang-gun",38390,"economy","company","total","count","7358"
2015,"Gyeongsangnam-do","Geochang-gun",38390,"economy","company","total","count","4705"
2020,"Gyeongsangnam-do","Hapcheon-gun",38400,"economy","company","total","count","5043"
2015,"Gyeongsangnam-do","Hapcheon-gun",38400,"economy","company","total","count","3435"
2010,"Gyeongsangnam-do","Hapcheon-gun",38400,"economy","company","total","count","3253"
2020,"Jeju-do","Jeju-si",39010,"economy","company","total","count","70039"
2015,"Jeju-do","Jeju-si",39010,"economy","company","total","count","40917"
2010,"Jeju-do","Jeju-si",39010,"economy","company","total","count","33839"
2015,"Jeju-do","Seogwipo-si",39020,"economy","company","total","count","14238"
2020,"Jeju-do","Seogwipo-si",39020,"economy","company","total","count","23962"
2010,"Jeju-do","Seogwipo-si",39020,"economy","company","total","count","11991"
